,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year
501,Ravichandran Ashwin,14,14,50.0,410,10,41.0,8.09,30.4,0,0,2018
502,Ben Laughlin,7,7,21.0,211,9,23.44,10.04,14.0,0,0,2018
503,Bhuvneshwar Kumar,12,12,46.0,354,9,39.33,7.66,30.77,0,0,2018
504,Chris Woakes,5,5,18.0,190,8,23.75,10.36,13.75,0,0,2018
505,Ben Stokes,13,12,37.0,303,8,37.87,8.18,27.75,0,0,2018
506,Harshal Patel,5,5,17.0,167,7,23.85,9.54,15.0,0,0,2018
507,Mohit Sharma,9,9,29.0,322,7,46.0,10.85,25.42,0,0,2018
508,Mustafizur Rahman,7,7,27.0,230,7,32.85,8.36,23.57,0,0,2018
509,Harbhajan Singh,13,12,32.0,270,7,38.57,8.48,27.28,0,0,2018
510,Imran Tahir,6,6,20.0,188,6,31.33,9.09,20.66,0,0,2018
511,Tom Curran,5,5,10.0,118,6,19.66,11.6,10.16,0,0,2018
512,Rahul Tewatia,8,8,22.0,173,6,28.83,7.86,22.0,0,0,2018
513,Shane Watson,15,11,28.0,251,6,41.83,8.96,28.0,0,0,2018
514,Tim Southee,8,8,29.0,261,5,52.2,9.0,34.8,0,0,2018
515,Sandeep Lamichhane,3,3,12.0,82,5,16.4,6.83,14.4,0,0,2018
516,Basil Thampi,4,4,10.0,114,5,22.8,11.21,12.2,0,0,2018
517,Shivam Mavi,9,9,28.0,270,5,54.0,9.64,33.6,0,0,2018
518,Billy Stanlake,4,4,16.0,130,5,26.0,8.12,19.2,0,0,2018
519,Carlos Brathwaite,4,4,10.0,94,5,18.8,9.24,12.2,0,0,2018
520,Glenn Maxwell,12,10,16.0,132,5,26.4,8.25,19.2,0,0,2018
521,Ish Sodhi,6,6,23.0,135,5,27.0,5.86,27.6,0,0,2018
522,Dhawal Kulkarni,8,8,20.0,188,4,47.0,9.47,29.75,0,0,2018
523,Washington Sundar,7,7,20.0,192,4,48.0,9.6,30.0,0,0,2018
524,Avesh Khan,6,6,19.0,204,4,51.0,10.73,28.5,0,0,2018
525,Nitish Rana,15,5,6.0,44,4,11.0,7.13,9.25,0,0,2018
526,Barinder Sran,6,6,22.0,229,4,57.25,10.4,33.0,0,0,2018
527,Dan Christian,4,4,12.0,101,4,25.25,8.53,17.75,0,0,2018
528,Liam Plunkett,7,7,25.0,225,4,56.25,9.0,37.5,0,0,2018
529,Karn Sharma,6,5,9.0,89,4,22.25,9.36,14.25,0,0,2018
530,Shahbaz Nadeem,6,6,15.0,161,3,53.66,10.73,30.0,0,0,2018
531,Axar Patel,9,8,26.0,218,3,72.66,8.38,52.0,0,0,2018
532,Mohammad Shami,4,4,14.0,144,3,48.0,10.4,27.66,0,0,2018
533,Corey Anderson,3,3,8.0,115,3,38.33,13.26,17.33,0,0,2018
534,KM Asif,2,2,6.0,75,3,25.0,12.5,12.0,0,0,2018
535,Moeen Ali,5,5,13.0,97,3,32.33,7.36,26.33,0,0,2018
536,Murugan Ashwin,2,2,7.0,53,3,17.66,7.57,14.0,0,0,2018
537,Marcus Stoinis,7,6,11.0,120,3,40.0,10.9,22.0,0,0,2018
538,Chris Morris,4,4,14.0,143,3,47.66,10.21,28.0,0,0,2018
539,Colin de Grandhomme,9,7,15.0,129,2,64.5,8.6,45.0,0,0,2018
540,Vinay Kumar,2,2,4.0,65,2,32.5,16.95,11.5,0,0,2018
541,David Willey,3,3,10.0,95,2,47.5,9.5,30.0,0,0,2018
542,Mitchell Johnson,6,6,21.0,216,2,108.0,10.28,63.0,0,0,2018
543,Kulwant Khejroliya,3,3,11.0,107,2,53.5,9.87,32.5,0,0,2018
544,Javon Searles,4,3,7.0,89,2,44.5,12.71,21.0,0,0,2018
545,Ben Cutting,9,7,17.0,168,2,84.0,9.88,51.0,0,0,2018
546,Pawan Negi,2,2,4.0,49,1,49.0,12.25,24.0,0,0,2018
547,D'Arcy Short,7,2,3.0,19,1,19.0,6.33,18.0,0,0,2018
548,Anureet Singh,3,3,4.0,42,1,42.0,10.5,24.0,0,0,2018
549,Vijay Shankar,13,4,5.0,58,1,58.0,11.6,30.0,0,0,2018
550,Yusuf Pathan,15,1,2.0,14,1,14.0,7.0,12.0,0,0,2018
551,Mohammad Nabi,2,2,5.0,47,1,47.0,9.4,30.0,0,0,2018
552,Bhuvneshwar Kumar,14,14,52.0,369,26,14.19,7.05,12.07,0,1,2017
553,Jaydev Unadkat,12,12,46.0,322,24,13.41,7.02,11.45,0,1,2017
554,Jasprit Bumrah,16,16,59.0,439,20,21.95,7.39,17.8,0,0,2017
555,Mitchell McClenaghan,14,14,54.0,507,19,26.68,9.38,17.05,0,0,2017
556,Imran Tahir,12,12,47.0,369,18,20.5,7.85,15.66,0,0,2017
557,Chris Woakes,13,13,44.0,386,17,22.7,8.77,15.52,0,0,2017
558,Rashid Khan,14,14,54.0,358,17,21.05,6.62,19.05,0,0,2017
559,Sandeep Sharma,13,13,48.0,398,17,23.41,8.29,16.94,1,0,2017
560,Umesh Yadav,14,14,48.0,410,17,24.11,8.45,17.11,1,0,2017
561,Siddarth Kaul,10,10,35.0,300,16,18.75,8.41,13.37,1,0,2017
562,Pawan Negi,12,12,32.0,197,16,12.31,6.12,12.06,0,0,2017
563,Axar Patel,14,14,48.0,362,15,24.13,7.54,19.2,0,0,2017
564,Nathan Coulter-Nile,8,8,28.0,228,15,15.2,8.04,11.33,0,0,2017
565,Pat Cummins,12,12,46.0,373,15,24.86,8.07,18.46,0,0,2017
566,Yuzvendra Chahal,13,13,43.0,333,14,23.78,7.65,18.64,0,0,2017
567,Mohit Sharma,14,14,45.0,410,13,31.53,8.97,21.07,0,0,2017
568,Karn Sharma,9,9,30.0,214,13,16.46,6.97,14.15,1,0,2017
569,Kuldeep Yadav,12,11,41.0,340,12,28.33,8.29,20.5,0,0,2017
570,Chris Morris,9,9,31.0,240,12,20.0,7.74,15.5,1,0,2017
571,Ben Stokes,12,12,44.0,316,12,26.33,7.18,22.0,0,0,2017
572,Andrew Tye,6,6,21.0,141,12,11.75,6.71,10.5,0,1,2017
573,Shardul Thakur,12,12,38.0,315,11,28.63,8.25,20.81,0,0,2017
574,Dan Christian,13,13,40.0,298,11,27.09,7.45,21.81,0,0,2017
575,Basil Thampi,12,12,44.0,424,11,38.54,9.49,24.36,0,0,2017
576,Lasith Malinga,12,12,45.0,382,11,34.72,8.52,24.45,0,0,2017
577,Zaheer Khan,11,11,40.0,313,10,31.3,7.79,24.1,0,0,2017
578,Sunil Narine,16,15,59.0,412,10,41.2,6.98,35.4,0,0,2017
579,Mohammed Siraj,6,6,23.0,212,10,21.2,9.21,13.8,1,0,2017
580,Amit Mishra,14,14,39.0,343,10,34.3,8.83,23.3,0,0,2017
581,Krunal Pandya,13,13,40.0,273,10,27.3,6.82,24.0,0,0,2017
582,Samuel Badree,7,7,25.0,188,9,20.88,7.52,16.66,1,0,2017
583,Washington Sundar,11,10,30.0,185,8,23.12,6.16,22.5,0,0,2017
584,Harbhajan Singh,11,11,41.0,266,8,33.25,6.48,30.75,0,0,2017
585,Ashish Nehra,6,6,21.0,197,8,24.62,9.3,15.87,0,0,2017
586,Varun Aaron,6,6,20.0,163,7,23.28,8.15,17.14,0,0,2017
587,Mitchell Johnson,5,5,20.0,141,7,20.14,7.05,17.14,0,0,2017
588,Adam Zampa,6,6,20.0,163,7,23.28,8.21,17.0,0,0,2017
589,Glenn Maxwell,14,8,19.0,125,7,17.85,6.57,16.28,0,0,2017
590,James Faulkner,8,8,26.0,258,6,43.0,9.79,26.33,0,0,2017
591,Shahbaz Nadeem,7,7,18.0,119,6,19.83,6.67,17.83,0,0,2017
592,Praveen Kumar,6,6,16.0,151,6,25.16,9.15,16.5,0,0,2017
593,Piyush Chawla,6,6,20.0,179,6,29.83,8.95,20.0,0,0,2017
594,Kagiso Rabada,6,6,21.0,188,6,31.33,8.81,21.33,0,0,2017
595,Hardik Pandya,17,13,26.0,213,6,35.5,8.19,26.0,0,0,2017
596,Aniket Choudhary,5,5,17.0,144,5,28.8,8.55,20.2,0,0,2017
597,Pradeep Sangwan,5,5,18.0,181,5,36.2,10.05,21.6,0,0,2017
598,Tymal Mills,5,5,18.0,153,5,30.6,8.57,21.4,0,0,2017
599,Mohammad Shami,8,8,26.0,243,5,48.6,9.34,31.2,0,0,2017
600,Trent Boult,6,6,24.0,216,5,43.2,9.06,28.6,0,0,2017
601,Ravindra Jadeja,12,12,38.0,349,5,69.8,9.18,45.6,0,0,2017
602,Sreenath Aravind,10,10,30.0,275,5,55.0,9.01,36.6,0,0,2017
603,Shane Watson,8,8,27.0,245,5,49.0,9.13,32.2,0,0,2017
604,Stuart Binny,8,4,6.0,50,4,12.5,8.33,9.0,0,0,2017
605,Colin de Grandhomme,12,9,16.0,135,4,33.75,8.43,24.0,0,0,2017
606,KC Cariappa,4,4,15.0,127,4,31.75,8.46,22.5,0,0,2017
607,Ankit Rajpoot,5,5,14.0,107,4,26.75,7.64,21.0,0,0,2017
608,Lockie Ferguson,4,4,13.0,93,3,31.0,7.15,26.0,0,0,2017
609,Bipul Sharma,7,7,16.0,129,3,43.0,7.89,32.66,0,0,2017
610,Tim Southee,3,3,10.0,96,3,32.0,9.6,20.0,0,0,2017
611,Rahul Tewatia,3,3,9.0,49,3,16.33,5.44,18.0,0,0,2017
612,Adam Milne,4,4,14.0,134,3,44.66,9.57,28.0,0,0,2017
613,Harshal Patel,1,1,4.0,43,3,14.33,10.75,8.0,0,0,2017
614,Corey Anderson,11,8,19.0,186,3,62.0,9.87,37.66,0,0,2017
615,Dhawal Kulkarni,6,6,19.0,173,3,57.66,9.18,37.66,0,0,2017
616,Iqbal Abdulla,2,2,5.0,55,2,27.5,11.0,15.0,0,0,2017
617,Marcus Stoinis,5,5,10.0,110,2,55.0,10.47,31.5,0,0,2017
618,Vinay Kumar,1,1,3.0,31,2,15.5,10.33,9.0,0,0,2017
619,Ankit Soni,7,6,18.0,144,2,72.0,7.92,54.5,0,0,2017
620,Mohammad Nabi,3,3,11.0,58,2,29.0,5.27,33.0,0,0,2017
621,Dwayne Smith,12,9,13.0,148,2,74.0,11.38,39.0,0,0,2017
622,Travis Head,7,5,8.0,81,2,40.5,10.12,24.0,0,0,2017
623,T Natarajan,6,6,12.0,115,2,57.5,9.07,38.0,0,0,2017
624,Rahul Chahar,3,2,7.0,58,2,29.0,8.28,21.0,0,0,2017
625,Rajat Bhatia,3,3,7.0,55,2,27.5,7.85,21.0,0,0,2017
626,Billy Stanlake,2,2,8.0,70,2,35.0,8.75,24.0,0,0,2017
627,Deepak Hooda,10,3,4.0,42,2,21.0,10.5,12.0,0,0,2017
628,Nathu Singh,2,2,4.0,15,1,15.0,3.75,24.0,0,0,2017
629,Matt Henry,2,2,5.0,71,1,71.0,14.2,30.0,0,0,2017
630,Yuvraj Singh,12,2,2.0,22,1,22.0,11.0,12.0,0,0,2017
631,Yusuf Pathan,15,4,4.0,41,1,41.0,10.25,24.0,0,0,2017
632,Carlos Brathwaite,2,2,6.0,67,1,67.0,11.16,36.0,0,0,2017
633,Deepak Chahar,3,3,7.0,74,1,74.0,10.57,42.0,0,0,2017
634,Ashok Dinda,3,3,10.0,119,1,119.0,11.9,60.0,0,0,2017
635,Munaf Patel,2,2,7.0,57,1,57.0,8.14,42.0,0,0,2017
636,Shubham Agarwal,1,1,4.0,42,1,42.0,10.5,24.0,0,0,2017
637,Ben Cutting,4,4,12.0,123,1,123.0,9.71,76.0,0,0,2017
638,Swapnil Singh,4,4,7.0,61,1,61.0,8.71,42.0,0,0,2017
639,Suresh Raina,14,6,12.0,102,1,102.0,8.5,72.0,0,0,2017
640,Avesh Khan,1,1,4.0,23,1,23.0,5.75,24.0,0,0,2017
641,Moises Henriques,12,12,24.0,248,1,248.0,10.33,144.0,0,0,2017
642,Bhuvneshwar Kumar,17,17,66.0,490,23,21.3,7.42,17.21,1,0,2016
643,Yuzvendra Chahal,13,13,49.0,401,21,19.09,8.15,14.04,1,0,2016
644,Shane Watson,16,16,56.0,485,20,24.25,8.58,16.95,1,0,2016
645,Dhawal Kulkarni,14,14,49.0,364,18,20.22,7.42,16.33,1,0,2016
646,Mitchell McClenaghan,14,14,53.0,436,17,25.64,8.17,18.82,1,0,2016
647,Dwayne Bravo,15,15,56.0,494,17,29.05,8.82,19.76,1,0,2016
648,Mustafizur Rahman,16,16,61.0,421,17,24.76,6.9,21.52,0,0,2016
649,Jasprit Bumrah,14,14,52.0,406,15,27.06,7.8,20.8,0,0,2016
650,Sandeep Sharma,14,14,50.0,366,15,24.4,7.32,20.0,0,0,2016
651,Andre Russell,12,12,36.0,291,15,19.4,7.97,14.6,1,0,2016
652,Barinder Sran,14,14,49.0,413,14,29.5,8.34,21.21,0,0,2016
653,Axar Patel,14,14,48.0,388,13,29.84,8.11,22.07,1,0,2016
654,Mohit Sharma,14,14,48.0,407,13,31.3,8.39,22.38,0,0,2016
655,Chris Morris,12,12,44.0,308,13,23.69,7.0,20.3,0,0,2016
656,Amit Mishra,14,14,46.0,344,13,26.46,7.47,21.23,1,0,2016
657,Adam Zampa,5,5,17.0,115,12,9.58,6.76,8.5,0,1,2016
658,Moises Henriques,17,17,52.0,415,12,34.58,7.98,26.0,0,0,2016
659,Sreenath Aravind,9,9,29.0,216,11,19.63,7.4,15.9,0,0,2016
660,Sunil Narine,11,11,43.0,304,11,27.63,7.09,23.36,0,0,2016
661,Ashok Dinda,9,9,30.0,231,11,21.0,7.57,16.63,0,0,2016
662,Piyush Chawla,12,11,35.0,273,11,24.81,7.72,19.27,0,0,2016
663,Chris Jordan,9,9,28.0,258,11,23.45,9.21,15.27,1,0,2016
664,Zaheer Khan,12,12,43.0,337,10,33.7,7.71,26.2,0,0,2016
665,Morne Morkel,10,10,35.0,297,10,29.7,8.36,21.3,0,0,2016
666,Umesh Yadav,9,9,26.0,234,10,23.4,9.0,15.6,0,0,2016
667,Ravichandran Ashwin,14,14,44.0,319,10,31.9,7.25,26.4,1,0,2016
668,Tim Southee,11,11,43.0,329,9,36.55,7.65,28.66,0,0,2016
669,Thisara Perera,12,11,33.0,326,9,36.22,9.82,22.11,0,0,2016
670,Praveen Kumar,16,16,51.0,401,9,44.55,7.78,34.33,0,0,2016
671,Ashish Nehra,8,8,26.0,199,9,22.11,7.65,17.33,0,0,2016
672,Harbhajan Singh,14,14,49.0,392,9,43.55,8.0,32.66,0,0,2016
673,Dwayne Smith,12,8,18.0,153,8,19.12,8.5,13.5,1,0,2016
674,Ravindra Jadeja,15,14,40.0,311,8,38.87,7.74,30.12,0,0,2016
675,Marcus Stoinis,7,7,23.0,194,8,24.25,8.43,17.25,1,0,2016
676,Kane Richardson,4,4,14.0,136,7,19.42,9.71,12.0,0,0,2016
677,Carlos Brathwaite,8,8,23.0,185,7,26.42,7.98,19.85,0,0,2016
678,Murugan Ashwin,10,10,28.0,241,7,34.42,8.45,24.42,0,0,2016
679,Shivil Kaushik,7,7,23.0,192,6,32.0,8.34,23.0,0,0,2016
680,Krunal Pandya,12,11,31.0,236,6,39.33,7.57,31.16,0,0,2016
681,Kuldeep Yadav,3,3,12.0,100,6,16.66,8.33,12.0,0,0,2016
682,Iqbal Abdulla,8,8,25.0,213,6,35.5,8.52,25.0,0,0,2016
683,Rajat Bhatia,10,10,34.0,244,6,40.66,7.17,34.0,0,0,2016
684,Pravin Tambe,7,7,16.0,143,5,28.6,8.93,19.2,0,0,2016
685,Shakib Al Hasan,10,9,31.0,243,5,48.6,7.83,37.2,0,0,2016
686,Ben Cutting,4,4,11.0,80,5,16.0,7.16,13.4,0,0,2016
687,Imran Tahir,4,4,16.0,138,5,27.6,8.62,19.2,0,0,2016
688,Mohammad Shami,8,8,25.0,244,5,48.8,9.69,30.2,0,0,2016
689,Brad Hogg,5,5,16.0,142,4,35.5,8.87,24.0,0,0,2016
690,Mitchell Marsh,3,3,9.0,45,4,11.25,5.0,13.5,0,0,2016
691,Bipul Sharma,7,6,14.0,121,3,40.33,8.64,28.0,0,0,2016
692,Vinay Kumar,3,3,9.0,64,3,21.33,7.11,18.0,0,0,2016
693,RP Singh,4,4,12.0,111,3,37.0,9.25,24.0,0,0,2016
694,Ankit Rajpoot,4,4,11.0,98,3,32.66,8.9,22.0,0,0,2016
695,Tabraiz Shamsi,4,4,16.0,147,3,49.0,9.18,32.0,0,0,2016
696,Pradeep Sahu,5,5,17.0,146,3,48.66,8.34,35.0,0,0,2016
697,Nathan Coulter-Nile,4,4,15.0,114,3,38.0,7.6,30.0,0,0,2016
698,Hardik Pandya,11,10,16.0,153,3,51.0,9.18,33.33,0,0,2016
699,Ishant Sharma,4,4,15.0,148,3,49.33,9.86,30.0,0,0,2016
700,Deepak Hooda,17,6,13.0,97,3,32.33,7.46,26.0,0,0,2016
701,KC Cariappa,5,5,17.0,159,3,53.0,9.35,34.0,0,0,2016
702,Scott Boland,2,2,7.0,54,2,27.0,7.71,21.0,0,0,2016
703,James Faulkner,7,7,17.0,167,2,83.5,9.82,51.0,0,0,2016
704,Jason Holder,4,4,13.0,103,2,51.5,7.92,39.0,0,0,2016
705,Jayant Yadav,5,5,17.0,125,2,62.5,7.35,51.0,0,0,2016
706,John Hastings,2,2,6.0,37,2,18.5,5.55,20.0,0,0,2016
707,Varun Aaron,8,8,23.0,227,2,113.5,9.59,71.0,0,0,2016
708,JP Duminy,10,5,7.0,55,2,27.5,7.85,21.0,0,0,2016
709,Shahbaz Nadeem,4,4,15.0,127,2,63.5,8.46,45.0,0,0,2016
710,Shadab Jakati,6,6,20.0,178,2,89.0,8.9,60.0,0,0,2016
711,Sachin Baby,11,2,1.0,8,2,4.0,4.8,5.0,0,0,2016
712,Kyle Abbott,5,5,16.0,177,2,88.5,11.06,48.0,0,0,2016
713,Rishi Dhawan,2,2,7.0,56,2,28.0,8.0,21.0,0,0,2016
714,Mitchell Johnson,3,3,11.0,106,2,53.0,9.63,33.0,0,0,2016
715,Gurkeerat Mann Singh,7,3,4.0,31,2,15.5,7.75,12.0,0,0,2016
716,Chris Gayle,10,4,10.0,63,2,31.5,6.3,30.0,0,0,2016
717,Albie Morkel,2,2,5.0,66,2,33.0,13.2,15.0,0,0,2016
718,Yusuf Pathan,15,4,6.0,33,1,33.0,5.5,36.0,0,0,2016
719,Trent Boult,1,1,4.0,39,1,39.0,9.75,24.0,0,0,2016
720,Adam Milne,1,1,4.0,43,1,43.0,10.75,24.0,0,0,2016
721,Ankit Sharma,3,3,11.0,84,1,84.0,7.63,66.0,0,0,2016
722,Stuart Binny,14,11,17.0,134,1,134.0,7.88,102.0,0,0,2016
723,Ashish Reddy,4,2,4.0,39,1,39.0,10.17,23.0,0,0,2016
724,Rajagopal Sathish,4,3,6.0,59,1,59.0,9.83,36.0,0,0,2016
725,Pawan Negi,8,5,9.0,84,1,84.0,9.33,54.0,0,0,2016
726,Parveez Rasool,4,4,14.0,129,1,129.0,9.21,84.0,0,0,2016
727,Harshal Patel,5,5,14.0,147,1,147.0,10.5,84.0,0,0,2016
728,Dwayne Bravo,17,16,52.0,426,26,16.38,8.14,12.07,0,0,2015
729,Lasith Malinga,15,15,60.0,444,24,18.5,7.4,15.0,1,0,2015
730,Yuzvendra Chahal,15,14,47.0,415,23,18.04,8.86,12.21,0,0,2015
731,Ashish Nehra,16,16,62.0,449,22,20.4,7.24,16.9,1,0,2015
732,Mitchell Starc,13,12,43.0,291,20,14.55,6.76,12.9,1,0,2015
733,Mitchell McClenaghan,12,12,47.0,386,18,21.44,8.21,15.66,0,0,2015
734,Harbhajan Singh,15,15,57.0,446,18,24.77,7.82,19.0,0,0,2015
735,Bhuvneshwar Kumar,14,14,51.0,407,18,22.61,7.87,17.22,0,0,2015
736,Harshal Patel,15,14,44.0,328,17,19.29,7.48,15.47,0,0,2015
737,David Wiese,14,13,42.0,353,16,22.06,8.33,15.87,1,0,2015
738,Nathan Coulter-Nile,11,11,42.0,321,15,21.4,7.55,17.0,1,0,2015
739,Imran Tahir,10,10,35.0,314,15,20.93,8.84,14.2,1,0,2015
740,Anureet Singh,14,14,51.0,465,15,31.0,9.0,20.66,0,0,2015
741,Andre Russell,13,13,40.0,324,14,23.14,7.96,17.42,0,0,2015
742,Mohit Sharma,16,16,57.0,481,14,34.35,8.43,24.42,0,0,2015
743,Axar Patel,14,14,46.0,392,13,30.15,8.4,21.53,0,0,2015
744,Sandeep Sharma,14,14,50.0,350,13,26.92,7.0,23.07,1,0,2015
745,Dhawal Kulkarni,11,11,35.0,277,13,21.3,7.91,16.15,0,0,2015
746,Chris Morris,11,11,42.0,311,13,23.92,7.4,19.38,1,0,2015
747,Moises Henriques,9,9,25.0,158,11,14.36,6.32,13.63,0,0,2015
748,Piyush Chawla,13,13,35.0,269,11,24.45,7.68,19.09,1,0,2015
749,Ravindra Jadeja,17,15,42.0,330,11,30.0,7.73,23.27,1,0,2015
750,Ishwar Pandey,10,10,31.0,223,11,20.27,7.19,16.9,0,0,2015
751,Umesh Yadav,12,12,42.0,382,10,38.2,9.09,25.2,0,0,2015
752,Karn Sharma,14,14,40.0,332,10,33.2,8.33,23.9,0,0,2015
753,Ravichandran Ashwin,14,13,39.0,228,10,22.8,5.84,23.4,0,0,2015
754,Jagadeesha Suchith,13,12,39.0,337,10,33.7,8.64,23.4,0,0,2015
755,Morne Morkel,7,7,28.0,206,10,20.6,7.35,16.8,0,0,2015
756,Amit Mishra,12,12,40.0,310,9,34.44,7.71,26.77,0,0,2015
757,Mitchell Johnson,9,9,36.0,336,9,37.33,9.37,23.88,0,0,2015
758,Brad Hogg,6,6,21.0,144,9,16.0,6.85,14.0,1,0,2015
759,Trent Boult,7,7,28.0,236,9,26.22,8.42,18.66,0,0,2015
760,James Faulkner,13,13,45.0,426,8,53.25,9.46,33.75,0,0,2015
761,Sreenath Aravind,5,5,18.0,132,8,16.5,7.33,13.5,1,0,2015
762,JP Duminy,14,9,17.0,126,8,15.75,7.41,12.75,1,0,2015
763,Angelo Mathews,11,10,30.0,246,7,35.14,8.2,25.71,0,0,2015
764,Zaheer Khan,7,7,24.0,156,7,22.28,6.45,20.71,0,0,2015
765,Sunil Narine,8,8,32.0,234,7,33.42,7.31,27.42,1,0,2015
766,Praveen Kumar,12,12,36.0,329,7,47.0,9.13,30.85,0,0,2015
767,Pravin Tambe,10,10,34.0,266,7,38.0,7.82,29.14,0,0,2015
768,Vinay Kumar,13,13,43.0,368,7,52.57,8.45,37.28,0,0,2015
769,Ravi Bopara,9,7,20.0,160,6,26.66,8.0,20.0,0,0,2015
770,Shane Watson,10,10,29.0,269,6,44.83,9.27,29.0,0,0,2015
771,Pawan Negi,10,10,30.0,252,6,42.0,8.4,30.0,0,0,2015
772,Tim Southee,7,7,28.0,247,6,41.16,8.82,28.0,0,0,2015
773,Beuran Hendricks,4,4,13.0,109,5,21.8,8.38,15.6,0,0,2015
774,Stuart Binny,13,10,19.0,140,4,35.0,7.36,28.5,0,0,2015
775,Domnic Joseph,6,6,14.0,101,4,25.25,7.21,21.0,0,0,2015
776,Shakib Al Hasan,4,4,14.0,123,4,30.75,8.78,21.0,0,0,2015
777,Iqbal Abdulla,5,5,19.0,150,4,37.5,7.89,28.5,0,0,2015
778,Varun Aaron,6,5,17.0,177,3,59.0,10.21,34.66,0,0,2015
779,Albie Morkel,4,4,12.0,109,3,36.33,9.08,24.0,0,0,2015
780,Kieron Pollard,16,8,12.0,120,3,40.0,9.47,25.33,0,0,2015
781,Ankit Sharma,4,4,14.0,114,3,38.0,8.14,28.0,0,0,2015
782,Gurkeerat Mann Singh,5,3,9.0,66,3,22.0,7.33,18.0,0,0,2015
783,Dale Steyn,6,6,19.0,170,3,56.66,8.94,38.0,0,0,2015
784,Ashish Reddy,6,4,6.0,50,3,16.66,8.33,12.0,0,0,2015
785,Bipul Sharma,4,3,7.0,50,3,16.66,7.14,14.0,0,0,2015
786,Jasprit Bumrah,4,4,15.0,184,3,61.33,12.26,30.0,0,0,2015
787,Glenn Maxwell,11,7,10.0,97,2,48.5,9.7,30.0,0,0,2015
788,Suresh Raina,17,5,12.0,93,2,46.5,7.75,36.0,0,0,2015
789,Jayant Yadav,3,3,7.0,29,2,14.5,4.14,21.0,0,0,2015
790,Yusuf Pathan,13,5,10.0,97,2,48.5,9.7,30.0,0,0,2015
791,Corey Anderson,4,2,4.0,33,1,33.0,8.25,24.0,0,0,2015
792,Deepak Hooda,14,7,15.0,129,1,129.0,8.5,91.0,0,0,2015
793,Thisara Perera,2,2,6.0,55,1,55.0,9.16,36.0,0,0,2015
794,Yuvraj Singh,14,6,9.0,72,1,72.0,8.0,54.0,0,0,2015
795,Abu Nechim,3,3,12.0,128,1,128.0,10.66,72.0,0,0,2015
796,Dwayne Smith,16,1,2.0,17,1,17.0,8.5,12.0,0,0,2015
797,Shivam Sharma,1,1,3.0,44,1,44.0,14.66,18.0,0,0,2015
798,Gurinder Sandhu,3,2,8.0,82,1,82.0,10.25,48.0,0,0,2015
799,Shreyas Gopal,1,1,2.0,23,1,23.0,10.61,13.0,0,0,2015
800,Parveez Rasool,2,2,5.0,31,1,31.0,6.2,30.0,0,0,2015
801,Shardul Thakur,1,1,3.0,38,1,38.0,12.66,18.0,0,0,2015
802,Hardik Pandya,9,8,17.0,176,1,176.0,10.35,102.0,0,0,2015
803,Ishant Sharma,4,4,14.0,159,1,159.0,11.35,84.0,0,0,2015
804,Ronit More,2,2,6.0,59,1,59.0,10.11,35.0,0,0,2015
805,Rishi Dhawan,5,5,12.0,110,1,110.0,9.16,72.0,0,0,2015
806,Johan Botha,4,4,10.0,81,1,81.0,8.1,60.0,0,0,2015
807,Rahul Tewatia,1,1,3.0,31,1,31.0,10.33,18.0,0,0,2015
808,Juan Theron,1,1,4.0,40,1,40.0,10.0,24.0,0,0,2015
809,Karanveer Singh,4,4,14.0,157,1,157.0,11.21,84.0,0,0,2015
810,KC Cariappa,1,1,2.0,28,1,28.0,14.0,12.0,0,0,2015
811,Pat Cummins,3,3,10.0,97,1,97.0,9.7,60.0,0,0,2015
812,Mohit Sharma,16,16,54.0,452,23,19.65,8.39,14.04,1,0,2014
813,Sunil Narine,16,16,64.0,407,21,19.38,6.35,18.28,2,0,2014
814,Bhuvneshwar Kumar,14,14,53.0,354,20,17.7,6.65,15.95,1,0,2014
815,Ravindra Jadeja,16,16,54.0,443,19,23.31,8.15,17.15,2,0,2014
816,Sandeep Sharma,11,11,40.0,354,18,19.66,8.81,13.38,0,0,2014
817,Mitchell Johnson,14,14,53.0,444,17,26.11,8.29,18.88,0,0,2014
818,Axar Patel,17,17,66.0,405,17,23.82,6.13,23.29,0,0,2014
819,Lasith Malinga,10,10,39.0,253,16,15.81,6.45,14.68,1,0,2014
820,Varun Aaron,10,10,36.0,299,16,18.68,8.15,13.75,0,0,2014
821,Ravichandran Ashwin,16,16,60.0,437,16,27.31,7.3,22.43,0,0,2014
822,Karn Sharma,14,14,50.0,376,15,25.06,7.42,20.26,1,0,2014
823,Pravin Tambe,13,13,49.0,356,15,23.73,7.26,19.6,1,0,2014
824,Harbhajan Singh,14,14,55.0,356,14,25.42,6.47,23.57,0,0,2014
825,Piyush Chawla,11,11,39.0,303,14,21.64,7.67,16.92,0,0,2014
826,Mitchell Starc,14,14,53.0,402,14,28.71,7.49,23.0,0,0,2014
827,Rishi Dhawan,13,13,47.0,365,13,28.07,7.71,21.84,0,0,2014
828,Rajat Bhatia,12,12,38.0,283,12,23.58,7.44,19.0,0,0,2014
829,Morne Morkel,12,12,48.0,367,12,30.58,7.64,24.0,0,0,2014
830,Lakshmipathy Balaji,9,9,34.0,299,12,24.91,8.79,17.0,1,0,2014
831,Yuzvendra Chahal,14,14,55.0,386,12,32.16,7.01,27.5,0,0,2014
