,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year
160,Josh Hazlewood,3,1,1,1,1,0.0,2,50.0,0,0,0,0,2023
161,Mohammed Siraj,14,2,1,1,1,1.0,2,50.0,0,0,0,0,2023
162,Yudhvir Singh,3,2,0,1,1,0.5,2,50.0,0,0,0,0,2023
163,Fazalhaq Farooqi,4,1,1,1,1,0.0,5,20.0,0,0,0,0,2023
164,Nathan Ellis,10,2,0,1,1,0.5,7,14.28,0,0,0,0,2023
165,Varun Chakaravarthy,14,2,1,1,1,1.0,9,11.11,0,0,0,0,2023
166,Jos Buttler,17,17,2,863,116,57.53,579,149.05,4,4,83,45,2022
167,K L Rahul,15,15,3,616,103,51.33,455,135.38,2,4,45,30,2022
168,Quinton De Kock,15,15,1,508,140,36.29,341,148.97,1,3,47,23,2022
169,Hardik Pandya,15,15,4,487,87,44.27,371,131.26,0,4,49,12,2022
170,Shubman Gill,16,16,2,483,96,34.5,365,132.32,0,4,51,11,2022
171,David Miller,16,16,9,481,94,68.71,337,142.72,0,2,32,23,2022
172,Faf Du Plessis,16,16,1,468,96,31.2,367,127.52,0,3,49,13,2022
173,Shikhar Dhawan,14,14,2,460,88,38.33,375,122.66,0,3,47,12,2022
174,Sanju Samson,17,17,1,458,55,28.63,312,146.79,0,2,43,26,2022
175,Deepak Hooda,15,14,0,451,59,32.21,330,136.66,0,4,36,18,2022
176,Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,34,2022
177,David Warner,12,12,3,432,92,48.0,287,150.52,0,5,52,15,2022
178,Abhishek Sharma,14,14,0,426,75,30.43,320,133.12,0,2,47,13,2022
179,Ishan Kishan,14,14,1,418,81,32.15,348,120.11,0,3,45,11,2022
180,Rahul Tripathi,14,14,3,413,76,37.55,261,158.23,0,3,40,20,2022
181,Shreyas Iyer,14,14,1,401,85,30.85,298,134.56,0,3,41,11,2022
182,Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16,2022
183,Aiden Markram,14,12,4,381,68,47.63,274,139.05,0,3,25,19,2022
184,Devdutt Padikkal,17,17,0,376,54,22.12,306,122.87,0,1,40,14,2022
185,Ruturaj  Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14,2022
186,Nitish Rana,14,14,1,361,57,27.77,251,143.82,0,2,29,22,2022
187,Virat Kohli,16,16,1,341,73,22.73,294,115.98,0,2,32,8,2022
188,Rishabh Pant,14,13,2,340,44,30.91,224,151.78,0,0,35,16,2022
189,Andre Russell,14,12,3,335,70,37.22,192,174.47,0,1,18,32,2022
190,Rajat Patidar,8,7,1,333,112,55.5,218,152.75,1,2,27,18,2022
191,Dinesh Karthik,16,16,10,330,66,55.0,180,183.33,0,1,27,22,2022
192,Wriddhiman Saha,11,11,1,317,68,31.7,259,122.39,0,3,40,7,2022
193,Shimron Hetmyer,15,15,8,314,59,44.86,204,153.92,0,1,21,21,2022
194,Nicholas Pooran,14,13,5,306,64,38.25,212,144.33,0,2,16,21,2022
195,Suryakumar Yadav,8,8,1,303,68,43.29,208,145.67,0,3,23,16,2022
196,Glenn Maxwell,13,13,2,301,55,27.36,178,169.1,0,1,31,15,2022
197,Shivam Dube,11,11,1,289,95,28.9,185,156.21,0,2,22,16,2022
198,Prithvi Shaw,10,10,0,283,61,28.3,185,152.97,0,2,37,10,2022
199,Ambati Rayudu,13,11,0,274,78,24.91,224,122.32,0,1,25,15,2022
200,Rohit Sharma,14,14,0,268,48,19.14,223,120.17,0,0,28,13,2022
201,Yashasvi Jaiswal,10,10,0,258,68,25.8,194,132.98,0,2,28,10,2022
202,Jonny Bairstow,11,11,0,253,66,23.0,175,144.57,0,2,34,9,2022
203,Devon Conway,7,7,1,252,87,42.0,173,145.66,0,3,22,12,2022
204,Mitchell Marsh,8,8,0,251,89,31.38,189,132.8,0,2,19,14,2022
205,Rovman Powell,14,12,2,250,67,25.0,167,149.7,0,1,10,22,2022
206,Moeen Ali,10,10,0,244,93,24.4,177,137.85,0,1,24,11,2022
207,Jitesh Sharma,12,10,2,234,44,29.25,143,163.63,0,0,22,12,2022
208,MS Dhoni,14,13,6,232,50,33.14,188,123.4,0,1,21,10,2022
209,Robin Uthappa,12,11,0,230,88,20.91,171,134.5,0,2,19,14,2022
210,Shahbaz Ahmed,16,11,3,219,45,27.38,181,120.99,0,0,14,9,2022
211,Rahul Tewatia,16,12,5,217,43,31.0,147,147.61,0,0,22,9,2022
212,Kane Williamson,13,13,2,216,57,19.64,231,93.5,0,1,16,8,2022
213,Bhanuka Rajapaksa,9,9,0,206,43,22.89,129,159.68,0,0,16,13,2022
214,Mayank Agarwal,13,12,0,196,52,16.33,160,122.5,0,1,23,6,2022
215,Ravichandran Ashwin,17,12,5,191,50,27.29,135,141.48,0,1,14,9,2022
216,Tim David,8,8,3,186,46,37.2,86,216.27,0,0,12,16,2022
217,Riyan Parag,17,14,3,183,56,16.64,132,138.63,0,1,11,10,2022
218,Krunal Pandya,14,13,4,183,42,20.33,145,126.2,0,0,16,4,2022
219,Axar Patel,13,10,6,182,42,45.5,120,151.66,0,0,12,10,2022
220,Venkatesh Iyer,12,12,1,182,50,16.55,169,107.69,0,1,17,7,2022
221,Rinku Singh,7,7,2,174,42,34.8,117,148.71,0,0,17,7,2022
222,Sam Billings,8,8,1,169,36,24.14,138,122.46,0,0,9,10,2022
223,Dewald Brevis,7,7,0,161,49,23.0,113,142.47,0,0,14,11,2022
224,Ayush Badoni,13,11,3,161,54,20.13,130,123.84,0,1,11,7,2022
225,Lalit Yadav,12,8,1,161,48,23.0,146,110.27,0,0,11,7,2022
226,Matthew Wade,10,10,0,157,35,15.7,138,113.76,0,0,23,2,2022
227,Marcus Stoinis,11,10,2,156,38,19.5,106,147.16,0,0,7,13,2022
228,Sai Sudharsan,5,5,1,145,65,36.25,114,127.19,0,1,14,3,2022
229,Kieron Pollard,11,11,1,144,25,14.4,134,107.46,0,0,6,9,2022
230,Ajinkya Rahane,7,7,0,133,44,19.0,128,103.9,0,0,14,4,2022
231,Anuj Rawat,8,8,0,129,66,16.13,118,109.32,0,1,10,7,2022
232,Shardul Thakur,14,10,2,120,29,15.0,87,137.93,0,0,7,7,2022
233,Shahrukh Khan,8,8,1,117,26,16.71,108,108.33,0,0,4,9,2022
234,Ravindra Jadeja,10,10,4,116,26,19.33,98,118.36,0,0,6,5,2022
235,Abhinav Manohar,8,7,1,108,43,18.0,75,144.0,0,0,14,3,2022
236,Washington Sundar,9,7,0,101,40,14.43,69,146.37,0,0,9,3,2022
237,Rashid Khan,16,8,4,91,40,22.75,44,206.81,0,0,3,9,2022
238,Sarfaraz Khan,6,5,2,91,36,30.33,67,135.82,0,0,9,2,2022
239,Manish Pandey,6,6,0,88,38,14.67,80,110.0,0,0,9,2,2022
240,Mahipal Lomror,7,5,0,86,42,17.2,57,150.87,0,0,7,4,2022
241,Aaron Finch,5,5,0,86,58,17.2,61,140.98,0,1,10,3,2022
242,Rahul Chahar,13,8,2,77,25,12.83,68,113.23,0,0,7,4,2022
243,Evin Lewis,6,5,2,73,55,24.33,56,130.35,0,1,8,3,2022
244,Sunil Narine,14,10,2,71,22,8.88,40,177.5,0,0,6,6,2022
245,Shashank Singh,10,5,1,69,25,17.25,47,146.8,0,0,5,4,2022
246,Suyash S Prabhudessai,5,5,0,67,34,13.4,59,113.55,0,0,7,2,2022
247,Pat Cummins,5,5,1,63,56,15.75,24,262.5,0,1,5,6,2022
248,Jaydev Unadkat,5,5,2,59,19,19.67,37,159.45,0,0,4,3,2022
249,Romario Shepherd,3,3,1,58,26,29.0,41,141.46,0,0,2,5,2022
250,Jason Holder,12,8,2,58,16,9.67,44,131.81,0,0,2,6,2022
251,Umesh Yadav,12,7,3,55,21,13.75,40,137.5,0,0,4,4,2022
252,Odean Smith,6,6,3,51,25,17.0,44,115.9,0,0,1,5,2022
253,Kagiso Rabada,13,8,3,48,25,9.6,43,111.62,0,0,5,2,2022
254,Kuldeep Yadav,14,7,6,48,16,48.0,52,92.3,0,0,3,2,2022
255,Priyam Garg,2,2,0,46,42,23.0,33,139.39,0,0,4,2,2022
256,Ramandeep Singh,5,4,2,45,14,22.5,40,112.5,0,0,3,1,2022
257,Dwaine Pretorius,6,5,1,44,22,11.0,28,157.14,0,0,3,3,2022
258,Dushmantha Chameera,12,8,4,43,17,10.75,28,153.57,0,0,3,3,2022
259,Harshal Patel,15,8,3,43,11,8.6,39,110.25,0,0,4,2,2022
260,Hrithik Shokeen,5,3,1,43,25,21.5,48,89.58,0,0,5,0,2022
261,Trent Boult,16,8,6,40,17,20.0,29,137.93,0,0,2,1,2022
262,Jagadeesan Narayan,2,2,1,40,39,40.0,37,108.1,0,0,3,1,2022
263,Daniel Sams,11,10,3,38,15,5.43,36,105.55,0,0,1,3,2022
264,Wanindu Hasaranga,16,7,0,38,18,5.43,43,88.37,0,0,4,1,2022
265,Rishi Dhawan,6,4,2,37,21,18.5,40,92.5,0,0,4,2,2022
266,Daryl Mitchell,2,2,0,33,17,16.5,44,75.0,0,0,1,0,2022
267,Sherfane Rutherford,3,2,0,33,28,16.5,50,66.0,0,0,1,1,2022
268,James Neesham,2,2,0,31,17,15.5,27,114.81,0,0,3,0,2022
269,Mohammed Siraj,15,5,3,30,14,15.0,33,90.9,0,0,5,0,2022
270,Tim Seifert,2,2,0,24,21,12.0,19,126.31,0,0,4,0,2022
271,Bhuvneshwar Kumar,14,6,3,24,8,8.0,26,92.3,0,0,3,0,2022
272,Mohsin Khan,9,3,2,23,13,23.0,16,143.75,0,0,2,1,2022
273,Dwayne Bravo,10,6,4,23,12,11.5,24,95.83,0,0,1,1,2022
274,Sheldon Jackson,5,5,1,23,8,5.75,26,88.46,0,0,0,1,2022
275,Avesh Khan,13,4,3,22,12,22.0,13,169.23,0,0,0,3,2022
276,Rassie van der Dussen,3,3,1,22,12,11.0,24,91.66,0,0,2,0,2022
277,Harpreet Brar,5,3,0,22,14,7.33,25,88.0,0,0,1,2,2022
278,Mitchell Santner,6,4,2,22,11,11.0,27,81.48,0,0,3,0,2022
279,Arshdeep Singh,14,6,3,21,10,7.0,29,72.41,0,0,3,0,2022
280,B Indrajith,3,3,0,21,15,7.0,30,70.0,0,0,2,0,2022
281,Manan Vohra,2,1,0,19,19,19.0,11,172.72,0,0,1,2,2022
282,Vijay Shankar,4,4,0,19,13,4.75,35,54.28,0,0,1,0,2022
283,Mandeep Singh,3,3,0,18,18,6.0,23,78.26,0,0,4,0,2022
284,Josh Hazlewood,12,5,5,18,7,0.0,26,69.23,0,0,1,0,2022
285,David Willey,4,2,0,18,18,9.0,30,60.0,0,0,3,0,2022
286,Karun Nair,3,2,0,16,13,8.0,18,88.88,0,0,1,0,2022
287,Simran Singh,1,1,0,14,14,14.0,11,127.27,0,0,2,0,2022
288,Anmolpreet Singh,2,2,0,13,8,6.5,13,100.0,0,0,1,0,2022
289,Murugan Ashwin,8,5,2,12,6,4.0,14,85.71,0,0,1,1,2022
290,Varun Chakaravarthy,11,4,4,12,10,0.0,18,66.66,0,0,2,0,2022
291,Chris Jordan,4,2,1,11,6,11.0,8,137.5,0,0,0,0,2022
292,Rajangad Bawa,2,2,0,11,11,5.5,14,78.57,0,0,1,0,2022
293,Shreyas Gopal,1,1,1,9,9,0.0,7,128.57,0,0,2,0,2022
294,Marco Jansen,8,3,2,9,8,9.0,7,128.57,0,0,0,1,2022
295,Obed McCoy,7,1,0,8,8,8.0,5,160.0,0,0,0,1,2022
296,Srikar Bharat,2,2,0,8,8,4.0,7,114.28,0,0,2,0,2022
297,Fabian Allen,1,1,0,8,8,8.0,7,114.28,0,0,1,0,2022
298,Sean Abbott,1,1,0,7,7,7.0,5,140.0,0,0,0,1,2022
299,Rasikh Salam,2,1,0,7,7,7.0,6,116.66,0,0,1,0,2022
300,Kartik Tyagi,2,2,0,7,7,3.5,6,116.66,0,0,1,0,2022
301,Maheesh Theekshana,9,2,1,7,7,7.0,7,100.0,0,0,0,1,2022
302,Simarjeet Singh,6,3,2,7,3,7.0,8,87.5,0,0,0,0,2022
303,Ripal Patel,2,1,0,6,6,6.0,3,200.0,0,0,0,1,2022
304,Mukesh Choudhary,13,2,1,6,4,6.0,6,100.0,0,0,1,0,2022
305,Prasidh Krishna,17,3,2,6,4,6.0,12,50.0,0,0,0,0,2022
306,Aman Khan,1,1,0,5,5,5.0,3,166.66,0,0,1,0,2022
307,Lockie Ferguson,13,3,1,5,5,2.5,4,125.0,0,0,1,0,2022
308,Alzarri Joseph,9,3,2,5,4,5.0,7,71.42,0,0,0,0,2022
309,Yuzvendra Chahal,17,2,1,5,5,5.0,8,62.5,0,0,0,0,2022
310,Vaibhav Arora,5,4,2,5,2,2.5,13,38.46,0,0,0,0,2022
311,Prerak Mankad,1,1,1,4,4,0.0,1,400.0,0,0,1,0,2022
312,Karan Sharma,1,1,0,4,4,4.0,4,100.0,0,0,1,0,2022
313,Abdul Samad,2,2,0,4,4,2.0,7,57.14,0,0,0,0,2022
314,Abhijeet Tomar,1,1,0,4,4,4.0,8,50.0,0,0,1,0,2022
315,Umran Malik,14,4,3,4,3,4.0,8,50.0,0,0,0,0,2022
316,Mustafizur Rahman,8,1,1,3,3,0.0,5,60.0,0,0,0,0,2022
317,Kumar Kartikeya Singh,4,1,0,3,3,3.0,5,60.0,0,0,0,0,2022
318,Shivam Mavi,6,3,1,3,2,1.5,7,42.85,0,0,0,0,2022
319,Harshit Rana,2,2,1,2,2,2.0,2,100.0,0,0,0,0,2022
320,Navdeep Saini,2,1,0,2,2,2.0,2,100.0,0,0,0,0,2022
321,Tristan Stubbs,2,2,0,2,2,1.0,4,50.0,0,0,0,0,2022
322,Pradeep Sangwan,3,1,0,2,2,2.0,5,40.0,0,0,0,0,2022
323,Fazalhaq Farooqi,3,1,1,2,2,0.0,8,25.0,0,0,0,0,2022
324,Jagadeesha Suchith,5,2,0,2,2,1.0,8,25.0,0,0,0,0,2022
325,Tim Southee,9,5,1,2,1,0.5,12,16.66,0,0,0,0,2022
326,Nathan Coulter-Nile,1,1,1,1,1,0.0,2,50.0,0,0,0,0,2022
327,Anrich Nortje,6,1,1,1,1,0.0,6,16.66,0,0,0,0,2022
328,Ruturaj Gaikwad,16,16,2,635,101,45.35,466,136.26,1,4,64,23,2021
