,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
69,70,Sachin Baby,11,2,1.0,8,2,2/4,4.0,4.8,5.0,0,0
70,71,Kyle Abbott,5,5,16.0,177,2,1/38,88.5,11.06,48.0,0,0
71,72,Rishi Dhawan,2,2,7.0,56,2,2/14,28.0,8.0,21.0,0,0
72,73,Mitchell Johnson,3,3,11.0,106,2,3/26,53.0,9.63,33.0,0,0
73,74,Gurkeerat Mann Singh,7,3,4.0,31,2,2/15,15.5,7.75,12.0,0,0
74,75,Chris Gayle,10,4,10.0,63,2,3/21,31.5,6.3,30.0,0,0
75,76,Albie Morkel,2,2,5.0,66,2,4/32,33.0,13.2,15.0,0,0
76,77,Yusuf Pathan,15,4,6.0,33,1,3/20,33.0,5.5,36.0,0,0
77,78,Trent Boult,1,1,4.0,39,1,4/18,39.0,9.75,24.0,0,0
78,79,Adam Milne,1,1,4.0,43,1,2/21,43.0,10.75,24.0,0,0
79,80,Ankit Sharma,3,3,11.0,84,1,2/20,84.0,7.63,66.0,0,0
80,81,Stuart Binny,14,11,17.0,134,1,2/14,134.0,7.88,102.0,0,0
81,82,Ashish Reddy,4,2,4.0,39,1,3/25,39.0,10.17,23.0,0,0
82,83,Rajagopal Sathish,4,3,6.0,59,1,1/11,59.0,9.83,36.0,0,0
83,84,Pawan Negi,8,5,9.0,84,1,4/18,84.0,9.33,54.0,0,0
84,85,Parveez Rasool,4,4,14.0,129,1,1/20,129.0,9.21,84.0,0,0
85,86,Harshal Patel,5,5,14.0,147,1,5/27,147.0,10.5,84.0,0,0
0,1,Bhuvneshwar Kumar,14,14,52.0,369,26,5/19,14.19,7.05,12.07,0,1
1,2,Jaydev Unadkat,12,12,46.0,322,24,5/25,13.41,7.02,11.45,0,1
2,3,Jasprit Bumrah,16,16,59.0,439,20,4/14,21.95,7.39,17.8,0,0
3,4,Mitchell McClenaghan,14,14,54.0,507,19,4/21,26.68,9.38,17.05,0,0
4,5,Imran Tahir,12,12,47.0,369,18,4/12,20.5,7.85,15.66,0,0
5,6,Chris Woakes,13,13,44.0,386,17,3/36,22.7,8.77,15.52,0,0
6,7,Rashid Khan,14,14,54.0,358,17,3/19,21.05,6.62,19.05,0,0
7,8,Sandeep Sharma,13,13,48.0,398,17,4/20,23.41,8.29,16.94,1,0
8,9,Umesh Yadav,14,14,48.0,410,17,4/24,24.11,8.45,17.11,1,0
9,10,Siddarth Kaul,10,10,35.0,300,16,4/29,18.75,8.41,13.37,1,0
10,11,Pawan Negi,12,12,32.0,197,16,4/18,12.31,6.12,12.06,0,0
11,12,Axar Patel,14,14,48.0,362,15,4/21,24.13,7.54,19.2,0,0
12,13,Nathan Coulter-Nile,8,8,28.0,228,15,4/14,15.2,8.04,11.33,0,0
13,14,Pat Cummins,12,12,46.0,373,15,4/34,24.86,8.07,18.46,0,0
14,15,Yuzvendra Chahal,13,13,43.0,333,14,4/25,23.78,7.65,18.64,0,0
15,16,Mohit Sharma,14,14,45.0,410,13,4/14,31.53,8.97,21.07,0,0
16,17,Karn Sharma,9,9,30.0,214,13,4/16,16.46,6.97,14.15,1,0
17,18,Kuldeep Yadav,12,11,41.0,340,12,4/20,28.33,8.29,20.5,0,0
18,19,Chris Morris,9,9,31.0,240,12,4/23,20.0,7.74,15.5,1,0
19,20,Ben Stokes,12,12,44.0,316,12,3/15,26.33,7.18,22.0,0,0
20,21,Andrew Tye,6,6,21.0,141,12,5/17,11.75,6.71,10.5,0,1
21,22,Shardul Thakur,12,12,38.0,315,11,3/19,28.63,8.25,20.81,0,0
22,23,Dan Christian,13,13,40.0,298,11,2/10,27.09,7.45,21.81,0,0
23,24,Basil Thampi,12,12,44.0,424,11,3/29,38.54,9.49,24.36,0,0
24,25,Lasith Malinga,12,12,45.0,382,11,5/13,34.72,8.52,24.45,0,0
25,26,Zaheer Khan,11,11,40.0,313,10,4/17,31.3,7.79,24.1,0,0
26,27,Sunil Narine,16,15,59.0,412,10,5/19,41.2,6.98,35.4,0,0
27,28,Mohammed Siraj,6,6,23.0,212,10,4/32,21.2,9.21,13.8,1,0
28,29,Amit Mishra,14,14,39.0,343,10,5/17,34.3,8.83,23.3,0,0
29,30,Krunal Pandya,13,13,40.0,273,10,3/14,27.3,6.82,24.0,0,0
30,31,Samuel Badree,7,7,25.0,188,9,4/9,20.88,7.52,16.66,1,0
31,32,Washington Sundar,11,10,30.0,185,8,3/16,23.12,6.16,22.5,0,0
32,33,Harbhajan Singh,11,11,41.0,266,8,5/18,33.25,6.48,30.75,0,0
33,34,Ashish Nehra,6,6,21.0,197,8,4/10,24.62,9.3,15.87,0,0
34,35,Varun Aaron,6,6,20.0,163,7,3/16,23.28,8.15,17.14,0,0
35,36,Mitchell Johnson,5,5,20.0,141,7,3/26,20.14,7.05,17.14,0,0
36,37,Adam Zampa,6,6,20.0,163,7,6/19,23.28,8.21,17.0,0,0
37,38,Glenn Maxwell,14,8,19.0,125,7,2/15,17.85,6.57,16.28,0,0
38,39,James Faulkner,8,8,26.0,258,6,5/16,43.0,9.79,26.33,0,0
39,40,Shahbaz Nadeem,7,7,18.0,119,6,3/16,19.83,6.67,17.83,0,0
40,41,Praveen Kumar,6,6,16.0,151,6,3/18,25.16,9.15,16.5,0,0
41,42,Piyush Chawla,6,6,20.0,179,6,4/17,29.83,8.95,20.0,0,0
42,43,Kagiso Rabada,6,6,21.0,188,6,4/21,31.33,8.81,21.33,0,0
43,44,Hardik Pandya,17,13,26.0,213,6,3/20,35.5,8.19,26.0,0,0
44,45,Aniket Choudhary,5,5,17.0,144,5,2/17,28.8,8.55,20.2,0,0
45,46,Pradeep Sangwan,5,5,18.0,181,5,3/18,36.2,10.05,21.6,0,0
46,47,Tymal Mills,5,5,18.0,153,5,2/31,30.6,8.57,21.4,0,0
47,48,Mohammad Shami,8,8,26.0,243,5,3/15,48.6,9.34,31.2,0,0
48,49,Trent Boult,6,6,24.0,216,5,4/18,43.2,9.06,28.6,0,0
49,50,Ravindra Jadeja,12,12,38.0,349,5,5/16,69.8,9.18,45.6,0,0
50,51,Sreenath Aravind,10,10,30.0,275,5,4/14,55.0,9.01,36.6,0,0
51,52,Shane Watson,8,8,27.0,245,5,4/29,49.0,9.13,32.2,0,0
52,53,Stuart Binny,8,4,6.0,50,4,2/14,12.5,8.33,9.0,0,0
53,54,Colin de Grandhomme,12,9,16.0,135,4,3/4,33.75,8.43,24.0,0,0
54,55,KC Cariappa,4,4,15.0,127,4,2/16,31.75,8.46,22.5,0,0
55,56,Ankit Rajpoot,5,5,14.0,107,4,5/14,26.75,7.64,21.0,0,0
56,57,Lockie Ferguson,4,4,13.0,93,3,3/15,31.0,7.15,26.0,0,0
57,58,Bipul Sharma,7,7,16.0,129,3,2/13,43.0,7.89,32.66,0,0
58,59,Tim Southee,3,3,10.0,96,3,3/24,32.0,9.6,20.0,0,0
59,60,Rahul Tewatia,3,3,9.0,49,3,3/18,16.33,5.44,18.0,0,0
60,61,Adam Milne,4,4,14.0,134,3,2/21,44.66,9.57,28.0,0,0
61,62,Harshal Patel,1,1,4.0,43,3,5/27,14.33,10.75,8.0,0,0
62,63,Corey Anderson,11,8,19.0,186,3,2/18,62.0,9.87,37.66,0,0
63,64,Dhawal Kulkarni,6,6,19.0,173,3,4/14,57.66,9.18,37.66,0,0
64,65,Iqbal Abdulla,2,2,5.0,55,2,3/24,27.5,11.0,15.0,0,0
65,66,Marcus Stoinis,5,5,10.0,110,2,4/15,55.0,10.47,31.5,0,0
66,67,Vinay Kumar,1,1,3.0,31,2,4/40,15.5,10.33,9.0,0,0
67,68,Ankit Soni,7,6,18.0,144,2,1/16,72.0,7.92,54.5,0,0
68,69,Mohammad Nabi,3,3,11.0,58,2,4/11,29.0,5.27,33.0,0,0
69,70,Dwayne Smith,12,9,13.0,148,2,4/8,74.0,11.38,39.0,0,0
70,71,Travis Head,7,5,8.0,81,2,2/30,40.5,10.12,24.0,0,0
71,72,T Natarajan,6,6,12.0,115,2,2/24,57.5,9.07,38.0,0,0
72,73,Rahul Chahar,3,2,7.0,58,2,4/27,29.0,8.28,21.0,0,0
73,74,Rajat Bhatia,3,3,7.0,55,2,4/15,27.5,7.85,21.0,0,0
74,75,Billy Stanlake,2,2,8.0,70,2,2/21,35.0,8.75,24.0,0,0
75,76,Deepak Hooda,10,3,4.0,42,2,2/16,21.0,10.5,12.0,0,0
76,77,Nathu Singh,2,2,4.0,15,1,1/7,15.0,3.75,24.0,0,0
77,78,Matt Henry,2,2,5.0,71,1,1/31,71.0,14.2,30.0,0,0
78,79,Yuvraj Singh,12,2,2.0,22,1,4/29,22.0,11.0,12.0,0,0
79,80,Yusuf Pathan,15,4,4.0,41,1,3/20,41.0,10.25,24.0,0,0
80,81,Carlos Brathwaite,2,2,6.0,67,1,3/43,67.0,11.16,36.0,0,0
81,82,Deepak Chahar,3,3,7.0,74,1,4/13,74.0,10.57,42.0,0,0
82,83,Ashok Dinda,3,3,10.0,119,1,4/18,119.0,11.9,60.0,0,0
83,84,Munaf Patel,2,2,7.0,57,1,5/21,57.0,8.14,42.0,0,0
84,85,Shubham Agarwal,1,1,4.0,42,1,1/42,42.0,10.5,24.0,0,0
85,86,Ben Cutting,4,4,12.0,123,1,2/20,123.0,9.71,76.0,0,0
86,87,Swapnil Singh,4,4,7.0,61,1,1/14,61.0,8.71,42.0,0,0
87,88,Suresh Raina,14,6,12.0,102,1,2/0,102.0,8.5,72.0,0,0
88,89,Avesh Khan,1,1,4.0,23,1,3/13,23.0,5.75,24.0,0,0
89,90,Moises Henriques,12,12,24.0,248,1,3/12,248.0,10.33,144.0,0,0
0,1,Andrew Tye,14,14,56.0,448,24,5/17,18.66,8.0,14.0,3,0
1,2,Siddarth Kaul,17,17,66.0,547,21,4/29,26.04,8.28,18.85,0,0
2,3,Rashid Khan,17,17,68.0,458,21,3/19,21.8,6.73,19.42,0,0
3,4,Umesh Yadav,14,14,53.0,418,20,4/24,20.9,7.86,15.95,0,0
4,5,Hardik Pandya,13,13,42.0,381,18,3/20,21.16,8.92,14.22,0,0
5,6,Trent Boult,14,14,52.0,466,18,4/18,25.88,8.84,17.55,0,0
6,7,Jasprit Bumrah,14,14,54.0,372,17,4/14,21.88,6.88,19.05,0,0
7,8,Sunil Narine,16,16,61.0,467,17,5/19,27.47,7.65,21.52,0,0
8,9,Kuldeep Yadav,16,16,51.0,418,17,4/20,24.58,8.14,18.11,1,0
9,10,Shardul Thakur,13,13,46.0,431,16,3/19,26.93,9.23,17.5,0,0
10,11,Jofra Archer,10,10,39.0,325,15,3/15,21.66,8.36,15.53,0,0
11,12,Mayank Markande,14,14,44.0,368,15,4/23,24.53,8.36,17.6,1,0
12,13,Dwayne Bravo,16,16,53.0,533,14,4/22,38.07,9.96,22.92,0,0
13,14,Mitchell McClenaghan,11,11,40.0,332,14,4/21,23.71,8.3,17.14,0,0
14,15,Mujeeb Ur Rahman,11,11,41.0,289,14,3/27,20.64,6.99,17.71,0,0
15,16,Piyush Chawla,15,15,49.0,412,14,4/17,29.42,8.4,21.0,0,0
16,17,Shakib Al Hasan,17,17,57.0,456,14,3/17,32.57,8.0,24.42,0,0
17,18,Andre Russell,16,15,38.0,355,13,5/15,27.3,9.38,17.46,0,0
18,19,Sandeep Sharma,12,12,44.0,333,12,4/20,27.75,7.56,22.0,0,0
19,20,Krunal Pandya,14,13,40.0,284,12,3/14,23.66,7.07,20.08,0,0
20,21,Amit Mishra,10,10,37.0,264,12,5/17,22.0,7.13,18.5,0,0
21,22,Yuzvendra Chahal,14,14,50.0,363,12,4/25,30.25,7.26,25.0,0,0
22,23,Ankit Rajpoot,8,8,26.0,223,11,5/14,20.27,8.52,14.27,0,1
23,24,Mohammed Siraj,11,11,41.0,367,11,4/32,33.36,8.95,22.36,0,0
24,25,Lungi Ngidi,7,7,26.0,156,11,4/10,14.18,6.0,14.18,1,0
25,26,Krishnappa Gowtham,15,15,40.0,312,11,2/12,28.36,7.8,21.81,0,0
26,27,Ravindra Jadeja,16,14,41.0,303,11,5/16,27.54,7.39,22.36,0,0
27,28,Jaydev Unadkat,15,15,50.0,486,11,5/25,44.18,9.65,27.45,0,0
28,29,Shreyas Gopal,11,10,31.0,236,11,4/16,21.45,7.61,16.9,1,0
29,30,Deepak Chahar,12,12,38.0,278,10,4/13,27.8,7.28,22.9,0,0
30,31,Prasidh Krishna,7,7,28.0,260,10,4/30,26.0,9.28,16.8,1,0
31,32,Ravichandran Ashwin,14,14,50.0,410,10,4/34,41.0,8.09,30.4,0,0
32,33,Ben Laughlin,7,7,21.0,211,9,2/15,23.44,10.04,14.0,0,0
33,34,Bhuvneshwar Kumar,12,12,46.0,354,9,5/19,39.33,7.66,30.77,0,0
34,35,Chris Woakes,5,5,18.0,190,8,3/36,23.75,10.36,13.75,0,0
35,36,Ben Stokes,13,12,37.0,303,8,3/15,37.87,8.18,27.75,0,0
36,37,Harshal Patel,5,5,17.0,167,7,5/27,23.85,9.54,15.0,0,0
37,38,Mohit Sharma,9,9,29.0,322,7,4/14,46.0,10.85,25.42,0,0
38,39,Mustafizur Rahman,7,7,27.0,230,7,3/16,32.85,8.36,23.57,0,0
39,40,Harbhajan Singh,13,12,32.0,270,7,5/18,38.57,8.48,27.28,0,0
40,41,Imran Tahir,6,6,20.0,188,6,4/12,31.33,9.09,20.66,0,0
41,42,Tom Curran,5,5,10.0,118,6,3/29,19.66,11.6,10.16,0,0
42,43,Rahul Tewatia,8,8,22.0,173,6,3/18,28.83,7.86,22.0,0,0
43,44,Shane Watson,15,11,28.0,251,6,4/29,41.83,8.96,28.0,0,0
44,45,Tim Southee,8,8,29.0,261,5,3/24,52.2,9.0,34.8,0,0
45,46,Sandeep Lamichhane,3,3,12.0,82,5,3/36,16.4,6.83,14.4,0,0
46,47,Basil Thampi,4,4,10.0,114,5,3/29,22.8,11.21,12.2,0,0
47,48,Shivam Mavi,9,9,28.0,270,5,4/21,54.0,9.64,33.6,0,0
48,49,Billy Stanlake,4,4,16.0,130,5,2/21,26.0,8.12,19.2,0,0
49,50,Carlos Brathwaite,4,4,10.0,94,5,3/43,18.8,9.24,12.2,0,0
50,51,Glenn Maxwell,12,10,16.0,132,5,2/15,26.4,8.25,19.2,0,0
51,52,Ish Sodhi,6,6,23.0,135,5,3/26,27.0,5.86,27.6,0,0
52,53,Dhawal Kulkarni,8,8,20.0,188,4,4/14,47.0,9.47,29.75,0,0
53,54,Washington Sundar,7,7,20.0,192,4,3/16,48.0,9.6,30.0,0,0
54,55,Avesh Khan,6,6,19.0,204,4,3/13,51.0,10.73,28.5,0,0
55,56,Nitish Rana,15,5,6.0,44,4,2/11,11.0,7.13,9.25,0,0
56,57,Barinder Sran,6,6,22.0,229,4,3/28,57.25,10.4,33.0,0,0
57,58,Dan Christian,4,4,12.0,101,4,2/10,25.25,8.53,17.75,0,0
58,59,Liam Plunkett,7,7,25.0,225,4,3/17,56.25,9.0,37.5,0,0
59,60,Karn Sharma,6,5,9.0,89,4,4/16,22.25,9.36,14.25,0,0
60,61,Shahbaz Nadeem,6,6,15.0,161,3,3/16,53.66,10.73,30.0,0,0
61,62,Axar Patel,9,8,26.0,218,3,4/21,72.66,8.38,52.0,0,0
62,63,Mohammad Shami,4,4,14.0,144,3,3/15,48.0,10.4,27.66,0,0
63,64,Corey Anderson,3,3,8.0,115,3,2/18,38.33,13.26,17.33,0,0
64,65,KM Asif,2,2,6.0,75,3,2/43,25.0,12.5,12.0,0,0
65,66,Moeen Ali,5,5,13.0,97,3,3/7,32.33,7.36,26.33,0,0
66,67,Murugan Ashwin,2,2,7.0,53,3,3/21,17.66,7.57,14.0,0,0
67,68,Marcus Stoinis,7,6,11.0,120,3,4/15,40.0,10.9,22.0,0,0
68,69,Chris Morris,4,4,14.0,143,3,4/23,47.66,10.21,28.0,0,0
69,70,Colin de Grandhomme,9,7,15.0,129,2,3/4,64.5,8.6,45.0,0,0
70,71,Vinay Kumar,2,2,4.0,65,2,4/40,32.5,16.95,11.5,0,0
71,72,David Willey,3,3,10.0,95,2,1/24,47.5,9.5,30.0,0,0
72,73,Mitchell Johnson,6,6,21.0,216,2,3/26,108.0,10.28,63.0,0,0
73,74,Kulwant Khejroliya,3,3,11.0,107,2,2/33,53.5,9.87,32.5,0,0
74,75,Javon Searles,4,3,7.0,89,2,1/24,44.5,12.71,21.0,0,0
75,76,Ben Cutting,9,7,17.0,168,2,2/20,84.0,9.88,51.0,0,0
76,77,Pawan Negi,2,2,4.0,49,1,4/18,49.0,12.25,24.0,0,0
77,78,D'Arcy Short,7,2,3.0,19,1,1/10,19.0,6.33,18.0,0,0
78,79,Anureet Singh,3,3,4.0,42,1,3/23,42.0,10.5,24.0,0,0
79,80,Vijay Shankar,13,4,5.0,58,1,2/19,58.0,11.6,30.0,0,0
80,81,Yusuf Pathan,15,1,2.0,14,1,3/20,14.0,7.0,12.0,0,0
81,82,Mohammad Nabi,2,2,5.0,47,1,4/11,47.0,9.4,30.0,0,0
0,1,Imran Tahir,17,17,64.0,431,26,4/12,16.57,6.69,14.84,2,0
1,2,Kagiso Rabada,12,12,47.0,368,25,4/21,14.72,7.82,11.28,2,0
2,3,Deepak Chahar,17,17,64.0,482,22,4/13,21.9,7.47,17.59,0,0
3,4,Shreyas Gopal,14,14,48.0,347,20,4/16,17.35,7.22,14.4,0,0
4,5,Mohammad Shami,14,14,54.0,469,19,3/15,24.68,8.68,17.05,0,0
5,6,Khaleel Ahmed,9,9,35.0,287,19,3/21,15.1,8.23,11.0,0,0
6,7,Jasprit Bumrah,16,16,61.0,409,19,4/14,21.52,6.63,19.47,0,0
7,8,Yuzvendra Chahal,14,14,49.0,386,18,4/25,21.44,7.82,16.44,1,0
8,9,Rashid Khan,15,15,60.0,377,17,3/19,22.17,6.28,21.17,0,0
9,10,Lasith Malinga,12,12,45.0,438,16,5/13,27.37,9.76,16.81,2,0
10,11,Harbhajan Singh,11,11,44.0,312,16,5/18,19.5,7.09,16.5,0,0
11,12,Ravichandran Ashwin,14,14,55.0,400,15,4/34,26.66,7.27,22.0,0,0
12,13,Ravindra Jadeja,16,16,54.0,343,15,5/16,22.86,6.35,21.6,0,0
13,14,Hardik Pandya,16,16,42.0,390,14,3/20,27.85,9.17,18.21,0,0
14,15,Chris Morris,9,9,33.0,306,13,4/23,23.53,9.27,15.23,0,0
15,16,Rahul Chahar,13,13,47.0,308,13,4/27,23.69,6.55,21.69,0,0
16,17,Ishant Sharma,13,13,46.0,349,13,5/12,26.84,7.58,21.23,0,0
17,18,Bhuvneshwar Kumar,15,15,59.0,461,13,5/19,35.46,7.81,27.23,0,0
18,19,Krunal Pandya,16,16,46.0,335,12,3/14,27.91,7.28,23.0,0,0
19,20,Sandeep Sharma,11,11,42.0,352,12,4/20,29.33,8.25,21.33,0,0
20,21,Dwayne Bravo,12,12,41.0,330,11,4/22,30.0,8.01,22.45,0,0
21,22,Amit Mishra,11,11,40.0,270,11,5/17,24.54,6.75,21.81,0,0
22,23,Andre Russell,14,12,30.0,287,11,5/15,26.09,9.51,16.45,0,0
23,24,Navdeep Saini,13,13,48.0,397,11,2/24,36.09,8.27,26.18,0,0
24,25,Jofra Archer,11,11,43.0,291,11,3/15,26.45,6.76,23.45,0,0
25,26,Sam Curran,9,9,33.0,323,10,4/11,32.3,9.78,19.8,1,0
26,27,Axar Patel,14,14,51.0,364,10,4/21,36.4,7.13,30.6,0,0
27,28,Piyush Chawla,13,13,44.0,399,10,4/17,39.9,8.96,26.7,0,0
28,29,Sunil Narine,12,12,44.0,347,10,5/19,34.7,7.82,26.6,0,0
29,30,Jaydev Unadkat,11,11,37.0,398,10,5/25,39.8,10.66,22.4,0,0
30,31,Keemo Paul,8,8,27.0,237,9,3/17,26.33,8.72,18.11,0,0
31,32,Shardul Thakur,10,9,30.0,281,8,3/19,35.12,9.36,22.5,0,0
32,33,Mohammad Nabi,8,8,29.0,194,8,4/11,24.25,6.65,21.87,1,0
33,34,Umesh Yadav,11,11,38.0,371,8,4/24,46.37,9.8,28.37,0,0
34,35,Sandeep Lamichhane,6,6,23.0,210,8,3/36,26.25,9.13,17.25,0,0
35,36,Mohammed Siraj,9,9,28.0,269,7,4/32,38.42,9.55,24.14,0,0
36,37,Harry Gurney,8,8,27.0,238,7,2/25,34.0,8.81,23.14,0,0
37,38,Hardus Viljoen,6,6,23.0,222,7,2/39,31.71,9.65,19.71,0,0
38,39,Siddarth Kaul,7,7,27.0,242,6,4/29,40.33,8.96,27.0,0,0
39,40,Moeen Ali,11,9,25.0,169,6,3/7,28.16,6.76,25.0,0,0
40,41,Alzarri Joseph,3,3,8.0,87,6,6/12,14.5,10.03,8.66,0,1
41,42,Dhawal Kulkarni,10,10,35.0,335,6,4/14,55.83,9.57,35.0,0,0
42,43,Ben Stokes,9,6,17.0,189,6,3/15,31.5,11.22,16.83,0,0
43,44,Jason Behrendorff,5,5,19.0,165,5,2/22,33.0,8.68,22.8,0,0
44,45,Trent Boult,5,5,19.0,163,5,4/18,32.6,8.57,22.8,0,0
45,46,Oshane Thomas,4,4,10.0,79,5,2/6,15.8,7.9,12.0,0,0
46,47,Murugan Ashwin,10,10,34.0,255,5,3/21,51.0,7.5,40.8,0,0
47,48,Washington Sundar,3,3,9.0,74,4,3/16,18.5,8.22,13.5,0,0
48,49,Dale Steyn,2,2,8.0,69,4,3/11,17.25,8.62,12.0,0,0
