,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
10,Liam Livingstone,14,14,2,437,70.0,36.42,240,182.08,0,4,29,34
11,David Warner,12,12,3,432,92.0,48.0,287,150.52,0,5,52,15
12,Abhishek Sharma,14,14,0,426,75.0,30.43,320,133.12,0,2,47,13
13,Ishan Kishan,14,14,1,418,81.0,32.15,348,120.11,0,3,45,11
14,Rahul Tripathi,14,14,3,413,76.0,37.55,261,158.23,0,3,40,20
15,Shreyas Iyer,14,14,1,401,85.0,30.85,298,134.56,0,3,41,11
16,Tilak Varma,14,14,3,397,61.0,36.09,303,131.02,0,2,29,16
17,Aiden Markram,14,12,4,381,68.0,47.63,274,139.05,0,3,25,19
18,Devdutt Padikkal,17,17,0,376,54.0,22.12,306,122.87,0,1,40,14
19,Ruturaj Gaikwad,14,14,0,368,99.0,26.29,291,126.46,0,3,33,14
20,Nitish Rana,14,14,1,361,57.0,27.77,251,143.82,0,2,29,22
21,Virat Kohli,16,16,1,341,73.0,22.73,294,115.98,0,2,32,8
22,Rishabh Pant,14,13,2,340,44.0,30.91,224,151.78,0,0,35,16
23,Andre Russell,14,12,3,335,70.0,37.22,192,174.47,0,1,18,32
24,Rajat Patidar,8,7,1,333,112.0,55.5,218,152.75,1,2,27,18
25,Dinesh Karthik,16,16,10,330,66.0,55.0,180,183.33,0,1,27,22
26,Wriddhiman Saha,11,11,1,317,68.0,31.7,259,122.39,0,3,40,7
27,Shimron Hetmyer,15,15,8,314,59.0,44.86,204,153.92,0,1,21,21
28,Nicholas Pooran,14,13,5,306,64.0,38.25,212,144.33,0,2,16,21
29,Suryakumar Yadav,8,8,1,303,68.0,43.29,208,145.67,0,3,23,16
30,Glenn Maxwell,13,13,2,301,55.0,27.36,178,169.1,0,1,31,15
31,Shivam Dube,11,11,1,289,95.0,28.9,185,156.21,0,2,22,16
32,Prithvi Shaw,10,10,0,283,61.0,28.3,185,152.97,0,2,37,10
33,Ambati Rayudu,13,11,0,274,78.0,24.91,224,122.32,0,1,25,15
34,Rohit Sharma,14,14,0,268,48.0,19.14,223,120.17,0,0,28,13
35,Yashasvi Jaiswal,10,10,0,258,68.0,25.8,194,132.98,0,2,28,10
36,Jonny Bairstow,11,11,0,253,66.0,23.0,175,144.57,0,2,34,9
37,Devon Conway,7,7,1,252,87.0,42.0,173,145.66,0,3,22,12
38,Mitchell Marsh,8,8,0,251,89.0,31.38,189,132.8,0,2,19,14
39,Rovman Powell,14,12,2,250,67.0,25.0,167,149.7,0,1,10,22
40,Moeen Ali,10,10,0,244,93.0,24.4,177,137.85,0,1,24,11
41,Jitesh Sharma,12,10,2,234,44.0,29.25,143,163.63,0,0,22,12
42,MS Dhoni,14,13,6,232,50.0,33.14,188,123.4,0,1,21,10
43,Robin Uthappa,12,11,0,230,88.0,20.91,171,134.5,0,2,19,14
44,Shahbaz Ahmed,16,11,3,219,45.0,27.38,181,120.99,0,0,14,9
45,Rahul Tewatia,16,12,5,217,43.0,31.0,147,147.61,0,0,22,9
46,Kane Williamson,13,13,2,216,57.0,19.64,231,93.5,0,1,16,8
47,Bhanuka Rajapaksa,9,9,0,206,43.0,22.89,129,159.68,0,0,16,13
48,Mayank Agarwal,13,12,0,196,52.0,16.33,160,122.5,0,1,23,6
49,Ravichandran Ashwin,17,12,5,191,50.0,27.29,135,141.48,0,1,14,9
50,Tim David,8,8,3,186,46.0,37.2,86,216.27,0,0,12,16
51,Riyan Parag,17,14,3,183,56.0,16.64,132,138.63,0,1,11,10
52,Krunal Pandya,14,13,4,183,42.0,20.33,145,126.2,0,0,16,4
53,Axar Patel,13,10,6,182,42.0,45.5,120,151.66,0,0,12,10
54,Venkatesh Iyer,12,12,1,182,50.0,16.55,169,107.69,0,1,17,7
55,Rinku Singh,7,7,2,174,42.0,34.8,117,148.71,0,0,17,7
56,Sam Billings,8,8,1,169,36.0,24.14,138,122.46,0,0,9,10
57,Dewald Brevis,7,7,0,161,49.0,23.0,113,142.47,0,0,14,11
58,Ayush Badoni,13,11,3,161,54.0,20.13,130,123.84,0,1,11,7
59,Lalit Yadav,12,8,1,161,48.0,23.0,146,110.27,0,0,11,7
60,Matthew Wade,10,10,0,157,35.0,15.7,138,113.76,0,0,23,2
61,Marcus Stoinis,11,10,2,156,38.0,19.5,106,147.16,0,0,7,13
62,Sai Sudharsan,5,5,1,145,65.0,36.25,114,127.19,0,1,14,3
63,Kieron Pollard,11,11,1,144,25.0,14.4,134,107.46,0,0,6,9
64,Ajinkya Rahane,7,7,0,133,44.0,19.0,128,103.9,0,0,14,4
65,Anuj Rawat,8,8,0,129,66.0,16.13,118,109.32,0,1,10,7
66,Shardul Thakur,14,10,2,120,29.0,15.0,87,137.93,0,0,7,7
67,Shahrukh Khan,8,8,1,117,26.0,16.71,108,108.33,0,0,4,9
68,Ravindra Jadeja,10,10,4,116,26.0,19.33,98,118.36,0,0,6,5
69,Abhinav Manohar,8,7,1,108,43.0,18.0,75,144.0,0,0,14,3
70,Washington Sundar,9,7,0,101,40.0,14.43,69,146.37,0,0,9,3
71,Rashid Khan,16,8,4,91,40.0,22.75,44,206.81,0,0,3,9
72,Sarfaraz Khan,6,5,2,91,36.0,30.33,67,135.82,0,0,9,2
73,Manish Pandey,6,6,0,88,38.0,14.67,80,110.0,0,0,9,2
74,Mahipal Lomror,7,5,0,86,42.0,17.2,57,150.87,0,0,7,4
75,Aaron Finch,5,5,0,86,58.0,17.2,61,140.98,0,1,10,3
76,Rahul Chahar,13,8,2,77,25.0,12.83,68,113.23,0,0,7,4
77,Evin Lewis,6,5,2,73,55.0,24.33,56,130.35,0,1,8,3
78,Sunil Narine,14,10,2,71,22.0,8.88,40,177.5,0,0,6,6
79,Shashank Singh,10,5,1,69,25.0,17.25,47,146.8,0,0,5,4
80,Suyash S Prabhudessai,5,5,0,67,34.0,13.4,59,113.55,0,0,7,2
81,Pat Cummins,5,5,1,63,56.0,15.75,24,262.5,0,1,5,6
82,Jaydev Unadkat,5,5,2,59,19.0,19.67,37,159.45,0,0,4,3
83,Romario Shepherd,3,3,1,58,26.0,29.0,41,141.46,0,0,2,5
84,Jason Holder,12,8,2,58,16.0,9.67,44,131.81,0,0,2,6
85,Umesh Yadav,12,7,3,55,21.0,13.75,40,137.5,0,0,4,4
86,Odean Smith,6,6,3,51,25.0,17.0,44,115.9,0,0,1,5
87,Kagiso Rabada,13,8,3,48,25.0,9.6,43,111.62,0,0,5,2
88,Kuldeep Yadav,14,7,6,48,16.0,48.0,52,92.3,0,0,3,2
89,Priyam Garg,2,2,0,46,42.0,23.0,33,139.39,0,0,4,2
90,Ramandeep Singh,5,4,2,45,14.0,22.5,40,112.5,0,0,3,1
91,Dwaine Pretorius,6,5,1,44,22.0,11.0,28,157.14,0,0,3,3
92,Dushmantha Chameera,12,8,4,43,17.0,10.75,28,153.57,0,0,3,3
93,Harshal Patel,15,8,3,43,11.0,8.6,39,110.25,0,0,4,2
94,Hrithik Shokeen,5,3,1,43,25.0,21.5,48,89.58,0,0,5,0
95,Trent Boult,16,8,6,40,17.0,20.0,29,137.93,0,0,2,1
96,Jagadeesan Narayan,2,2,1,40,39.0,40.0,37,108.1,0,0,3,1
97,Daniel Sams,11,10,3,38,15.0,5.43,36,105.55,0,0,1,3
98,Wanindu Hasaranga,16,7,0,38,18.0,5.43,43,88.37,0,0,4,1
99,Rishi Dhawan,6,4,2,37,21.0,18.5,40,92.5,0,0,4,2
100,Daryl Mitchell,2,2,0,33,17.0,16.5,44,75.0,0,0,1,0
101,Sherfane Rutherford,3,2,0,33,28.0,16.5,50,66.0,0,0,1,1
102,James Neesham,2,2,0,31,17.0,15.5,27,114.81,0,0,3,0
103,Mohammed Siraj,15,5,3,30,14.0,15.0,33,90.9,0,0,5,0
104,Tim Seifert,2,2,0,24,21.0,12.0,19,126.31,0,0,4,0
105,Bhuvneshwar Kumar,14,6,3,24,8.0,8.0,26,92.3,0,0,3,0
106,Mohsin Khan,9,3,2,23,13.0,23.0,16,143.75,0,0,2,1
107,Dwayne Bravo,10,6,4,23,12.0,11.5,24,95.83,0,0,1,1
108,Sheldon Jackson,5,5,1,23,8.0,5.75,26,88.46,0,0,0,1
109,Avesh Khan,13,4,3,22,12.0,22.0,13,169.23,0,0,0,3
110,Rassie van der Dussen,3,3,1,22,12.0,11.0,24,91.66,0,0,2,0
111,Harpreet Brar,5,3,0,22,14.0,7.33,25,88.0,0,0,1,2
112,Mitchell Santner,6,4,2,22,11.0,11.0,27,81.48,0,0,3,0
113,Arshdeep Singh,14,6,3,21,10.0,7.0,29,72.41,0,0,3,0
114,B Indrajith,3,3,0,21,15.0,7.0,30,70.0,0,0,2,0
115,Manan Vohra,2,1,0,19,19.0,19.0,11,172.72,0,0,1,2
116,Vijay Shankar,4,4,0,19,13.0,4.75,35,54.28,0,0,1,0
117,Mandeep Singh,3,3,0,18,18.0,6.0,23,78.26,0,0,4,0
118,Josh Hazlewood,12,5,5,18,7.0,0.0,26,69.23,0,0,1,0
119,David Willey,4,2,0,18,18.0,9.0,30,60.0,0,0,3,0
120,Karun Nair,3,2,0,16,13.0,8.0,18,88.88,0,0,1,0
121,Simran Singh,1,1,0,14,14.0,14.0,11,127.27,0,0,2,0
122,Anmolpreet Singh,2,2,0,13,8.0,6.5,13,100.0,0,0,1,0
123,Murugan Ashwin,8,5,2,12,6.0,4.0,14,85.71,0,0,1,1
124,Varun Chakaravarthy,11,4,4,12,10.0,0.0,18,66.66,0,0,2,0
125,Chris Jordan,4,2,1,11,6.0,11.0,8,137.5,0,0,0,0
126,Rajangad Bawa,2,2,0,11,11.0,5.5,14,78.57,0,0,1,0
127,Shreyas Gopal,1,1,1,9,9.0,0.0,7,128.57,0,0,2,0
128,Marco Jansen,8,3,2,9,8.0,9.0,7,128.57,0,0,0,1
129,Obed McCoy,7,1,0,8,8.0,8.0,5,160.0,0,0,0,1
130,Srikar Bharat,2,2,0,8,8.0,4.0,7,114.28,0,0,2,0
131,Fabian Allen,1,1,0,8,8.0,8.0,7,114.28,0,0,1,0
132,Sean Abbott,1,1,0,7,7.0,7.0,5,140.0,0,0,0,1
133,Rasikh Salam,2,1,0,7,7.0,7.0,6,116.66,0,0,1,0
134,Kartik Tyagi,2,2,0,7,7.0,3.5,6,116.66,0,0,1,0
135,Maheesh Theekshana,9,2,1,7,7.0,7.0,7,100.0,0,0,0,1
136,Simarjeet Singh,6,3,2,7,3.0,7.0,8,87.5,0,0,0,0
137,Ripal Patel,2,1,0,6,6.0,6.0,3,200.0,0,0,0,1
138,Mukesh Choudhary,13,2,1,6,4.0,6.0,6,100.0,0,0,1,0
139,Prasidh Krishna,17,3,2,6,4.0,6.0,12,50.0,0,0,0,0
140,Aman Khan,1,1,0,5,5.0,5.0,3,166.66,0,0,1,0
141,Lockie Ferguson,13,3,1,5,5.0,2.5,4,125.0,0,0,1,0
142,Alzarri Joseph,9,3,2,5,4.0,5.0,7,71.42,0,0,0,0
143,Yuzvendra Chahal,17,2,1,5,5.0,5.0,8,62.5,0,0,0,0
144,Vaibhav Arora,5,4,2,5,2.0,2.5,13,38.46,0,0,0,0
145,Prerak Mankad,1,1,1,4,4.0,0.0,1,400.0,0,0,1,0
146,Karan Sharma,1,1,0,4,4.0,4.0,4,100.0,0,0,1,0
147,Abdul Samad,2,2,0,4,4.0,2.0,7,57.14,0,0,0,0
148,Abhijeet Tomar,1,1,0,4,4.0,4.0,8,50.0,0,0,1,0
149,Umran Malik,14,4,3,4,3.0,4.0,8,50.0,0,0,0,0
150,Mustafizur Rahman,8,1,1,3,3.0,0.0,5,60.0,0,0,0,0
151,Kumar Kartikeya Singh,4,1,0,3,3.0,3.0,5,60.0,0,0,0,0
152,Shivam Mavi,6,3,1,3,2.0,1.5,7,42.85,0,0,0,0
153,Harshit Rana,2,2,1,2,2.0,2.0,2,100.0,0,0,0,0
154,Navdeep Saini,2,1,0,2,2.0,2.0,2,100.0,0,0,0,0
155,Tristan Stubbs,2,2,0,2,2.0,1.0,4,50.0,0,0,0,0
156,Pradeep Sangwan,3,1,0,2,2.0,2.0,5,40.0,0,0,0,0
157,Fazalhaq Farooqi,3,1,1,2,2.0,0.0,8,25.0,0,0,0,0
158,Jagadeesha Suchith,5,2,0,2,2.0,1.0,8,25.0,0,0,0,0
159,Tim Southee,9,5,1,2,1.0,0.5,12,16.66,0,0,0,0
160,Nathan Coulter-Nile,1,1,1,1,1.0,0.0,2,50.0,0,0,0,0
161,Anrich Nortje,6,1,1,1,1.0,0.0,6,16.66,0,0,0,0
