,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,year
1038,31,Veer Pratap SinghDEC,9,9,34,296,10,2/31,29.60,8.70,20.40,0,0,2012
1039,32,Ashok DindaPWI,7,7,24,169,9,4/18,18.77,7.04,16.00,1,0,2012
1040,33,Harshal PatelRCB,12,11,41,340,9,5/27,37.77,8.29,27.33,0,0,2012
1041,34,Johan BothaRR,11,11,41,297,9,3/6,33.00,7.24,27.33,0,0,2012
1042,35,Pragyan OjhaMI,9,9,30,220,9,3/11,24.44,7.33,20.00,0,0,2012
1043,36,Praveen KumarPBKS,16,16,63,434,9,3/18,48.22,6.88,42.00,0,0,2012
1044,37,Rahul SharmaPWI,11,11,37,300,9,3/13,33.33,8.10,24.66,0,0,2012
1045,38,Shadab JakatiCSK,15,15,41,335,9,4/22,37.22,8.17,27.33,0,0,2012
1046,39,Bhuvneshwar KumarPWI,11,11,39,281,8,5/19,35.12,7.20,29.25,0,0,2012
1047,40,Dan ChristianDEC,7,7,27,233,8,2/10,29.12,8.62,20.25,0,0,2012
1048,41,Doug BollingerCSK,6,6,18,157,8,4/13,19.62,8.72,13.50,0,0,2012
1049,42,Irfan PathanDC,17,17,60,465,8,3/24,58.12,7.75,45.00,0,0,2012
1050,43,Marlon SamuelsPWI,8,8,28,216,8,3/39,27.00,7.53,21.50,0,0,2012
1051,44,Ryan HarrisPBKS,5,5,18,130,8,4/34,16.25,7.22,13.50,1,0,2012
1052,45,Shahbaz NadeemDC,12,12,45,318,8,3/16,39.75,7.06,33.75,0,0,2012
1053,46,Varun AaronDC,8,8,31,271,8,3/16,33.87,8.74,23.25,0,0,2012
1054,47,Angelo MathewsPWI,9,9,26,192,7,4/19,27.42,7.38,22.28,0,0,2012
1055,48,Ankeet ChavanRR,8,8,27,236,7,2/23,33.71,8.63,23.42,0,0,2012
1056,49,Brett LeeKKR,10,10,38,299,7,3/15,42.71,7.86,32.57,0,0,2012
1057,50,Dimitri MascarenhasPBKS,4,4,16,105,7,5/25,15.00,6.56,13.71,0,1,2012
1058,51,Pankaj SinghRR,6,6,21,170,7,2/18,24.28,8.09,18.00,0,0,2012
1059,52,Pawan NegiDC,8,6,22,152,7,4/18,21.71,6.90,18.85,1,0,2012
1060,53,Dhawal KulkarniMI,2,2,8,64,6,4/14,10.66,8.00,8.00,0,0,2012
1061,54,Harbhajan SinghMI,17,16,54,384,6,5/18,64.00,7.11,54.00,0,0,2012
1062,55,Harmeet Singh BansalPBKS,7,6,19,168,6,3/24,28.00,8.68,19.33,0,0,2012
1063,56,James FranklinMI,12,9,15,121,6,2/18,20.16,8.06,15.00,0,0,2012
1064,57,KP AppannaRCB,7,6,17,148,6,4/19,24.66,8.70,17.00,1,0,2012
1065,58,Shane WatsonRR,7,7,23,161,6,4/29,26.83,7.00,23.00,0,0,2012
1066,59,Shaun TaitRR,6,6,23,151,6,3/13,25.16,6.61,22.83,0,0,2012
1067,60,Ajit ChandilaRR,4,4,14,86,5,4/13,17.20,6.14,16.80,1,0,2012
1068,61,Andrew McDonaldRCB,4,3,10,61,5,2/25,12.20,6.10,12.00,0,0,2012
1069,62,Daniel VettoriRCB,9,9,35,236,5,3/15,47.20,6.74,42.00,0,0,2012
1070,63,Wayne ParnellPWI,6,6,21,128,5,3/27,25.60,6.09,25.20,0,0,2012
1071,64,Ankit SharmaDEC,9,9,24,165,4,2/20,41.25,6.82,36.25,0,0,2012
1072,65,Iqbal AbdullaKKR,9,8,22,144,4,3/24,36.00,6.54,33.00,0,0,2012
1073,66,Murali KartikPWI,11,11,36,266,4,3/17,66.50,7.38,54.00,0,0,2012
1074,67,Nuwan KulasekaraCSK,5,4,14,94,4,2/10,23.50,6.71,21.00,0,0,2012
1075,68,Ajit AgarkarDC,4,4,14,134,3,3/25,44.66,9.34,28.66,0,0,2012
1076,69,Alfonso ThomasPWI,4,4,14,109,3,3/22,36.33,7.78,28.00,0,0,2012
1077,70,Anand RajanDEC,4,4,12,109,3,3/27,36.33,9.21,23.66,0,0,2012
1078,71,David HusseyPBKS,16,6,9,63,3,2/2,21.00,7.00,18.00,0,0,2012
1079,72,Doug BracewellDC,1,1,4,32,3,3/32,10.66,8.00,8.00,0,0,2012
1080,73,James FaulknerPBKS,2,2,8,72,3,5/16,24.00,9.00,16.00,0,0,2012
1081,74,Manpreet GonyDEC,6,6,24,207,3,3/31,69.00,8.62,48.00,0,0,2012
1082,75,Marchant de LangeKKR,3,3,10,107,3,3/34,35.66,10.70,20.00,0,0,2012
1083,76,Robin PetersonMI,5,4,8,70,3,3/37,23.33,8.75,16.00,0,0,2012
1084,77,Shikhar DhawanDEC,15,4,6,55,3,1/7,18.33,9.16,12.00,0,0,2012
1085,78,Stuart BinnyRR,8,6,10,78,3,2/14,26.00,7.80,20.00,0,0,2012
1086,79,Yo MaheshCSK,5,4,9,81,3,4/36,27.00,8.67,18.66,0,0,2012
1087,80,Yusuf PathanKKR,17,12,22,182,3,3/20,60.66,8.27,44.00,0,0,2012
1088,81,Bhargav BhattPBKS,5,5,16,136,2,4/22,68.00,8.24,49.50,0,0,2012
1089,82,Dwayne SmithMI,7,6,13,95,2,4/8,47.50,7.30,39.00,0,0,2012
1090,83,Juan TheronDEC,2,2,8,66,2,2/17,33.00,8.25,24.00,0,0,2012
1091,84,Michael ClarkePWI,6,5,11,67,2,1/12,33.50,6.09,33.00,0,0,2012
1092,85,Roelof van der MerweDC,3,3,10,60,2,3/20,30.00,6.00,30.00,0,0,2012
1093,86,Sourav GangulyPWI,15,4,10,95,2,2/21,47.50,9.50,30.00,0,0,2012
1094,87,Suresh RainaCSK,19,7,14,105,2,2/0,52.50,7.50,42.00,0,0,2012
1095,88,Abhishek JhunjhunwalaDEC,5,3,6,38,1,1/13,38.00,6.33,36.00,0,0,2012
1096,89,Akshath ReddyDEC,5,1,3,32,1,1/32,32.00,10.66,18.00,0,0,2012
1097,90,Andre RussellDC,4,4,16,161,1,5/15,161.00,10.06,96.00,0,0,2012
1098,91,Ashok MenariaRR,15,3,3,23,1,2/20,23.00,6.90,20.00,0,0,2012
1099,92,Brad HodgeRR,12,2,2,21,1,4/13,21.00,10.50,12.00,0,0,2012
1100,93,Clint McKayMI,2,2,7,60,1,1/36,60.00,8.57,42.00,0,0,2012
1101,94,Glenn MaxwellDC,2,2,3,22,1,2/15,22.00,7.33,18.00,0,0,2012
1102,95,Jesse RyderPWI,11,4,7,70,1,2/14,70.00,10.00,42.00,0,0,2012
1103,96,JP DuminyDEC,9,6,12,104,1,4/17,104.00,8.66,72.00,0,0,2012
1104,97,Laxmi Ratan ShuklaKKR,11,2,2,12,1,3/25,12.00,6.00,12.00,0,0,2012
1105,98,Mandeep SinghPBKS,16,1,3,23,1,1/23,23.00,7.66,18.00,0,0,2012
1106,99,Pradeep SangwanKKR,1,1,4,42,1,3/18,42.00,10.50,24.00,0,0,2012
1107,100,Ryan ten DoeschateKKR,3,1,3,24,1,1/24,24.00,8.00,18.00,0,0,2012
1108,101,TP SudhindraDEC,3,3,11,136,1,1/46,136.00,11.65,70.00,0,0,2012
1109,1,Lasith MalingaMI,16,16,63,375,28,5/13,13.39,5.95,13.50,0,1,2011
1110,2,Munaf PatelMI,15,15,54,358,22,5/21,16.27,6.58,14.81,0,1,2011
1111,3,Sreenath AravindRCB,13,13,46,368,21,4/14,17.52,8.00,13.14,1,0,2011
1112,4,Ravichandran AshwinCSK,16,16,63,388,20,4/34,19.40,6.15,18.90,0,0,2011
1113,5,Amit MishraDEC,14,14,53,358,19,5/17,18.84,6.71,16.84,1,0,2011
1114,6,Doug BollingerCSK,13,13,47,329,17,4/13,19.35,7.00,16.58,0,0,2011
1115,7,Iqbal AbdullaKKR,15,15,50,305,16,3/24,19.06,6.10,18.75,0,0,2011
1116,8,Ryan HarrisPBKS,13,13,47,382,16,4/34,23.87,8.12,17.62,0,0,2011
1117,9,Rahul SharmaPWI,14,14,50,273,16,3/13,17.06,5.46,18.75,0,0,2011
1118,10,Piyush ChawlaPBKS,12,12,41,336,16,4/17,21.00,8.12,15.50,1,0,2011
1119,11,Albie MorkelCSK,15,14,45,382,15,4/32,25.46,8.48,18.00,0,0,2011
1120,12,Dale SteynDEC,12,12,45,299,14,3/11,21.35,6.57,19.50,0,0,2011
1121,13,Harbhajan SinghMI,15,15,53,370,14,5/18,26.42,6.98,22.71,0,1,2011
1122,14,Zaheer KhanRCB,15,15,59,455,14,4/17,32.50,7.71,25.28,0,0,2011
1123,15,RP SinghKTK,14,14,50,345,13,4/22,26.53,6.90,23.07,1,0,2011
1124,16,Shane WarneRR,13,12,47,297,13,4/21,22.84,6.31,21.69,0,0,2011
1125,17,Yusuf PathanKKR,15,14,39,238,13,3/20,18.30,6.10,18.00,0,0,2011
1126,18,Morne MorkelDC,11,11,43,325,13,4/20,25.00,7.55,19.84,0,0,2011
1127,19,Daniel VettoriRCB,13,13,51,311,12,3/15,25.91,6.01,25.83,0,0,2011
1128,20,Vinay KumarKTK,13,13,44,335,12,4/40,27.91,7.50,22.33,0,0,2011
1129,21,Dan ChristianDEC,14,14,45,350,11,2/10,31.81,7.66,24.90,0,0,2011
1130,22,Alfonso ThomasPWI,11,11,38,297,11,3/22,27.00,7.71,21.00,0,0,2011
1131,23,Ishant SharmaDEC,12,12,44,314,11,5/12,28.54,7.13,24.00,0,1,2011
1132,24,Shakib Al HasanKKR,7,7,25,175,11,3/17,15.90,6.86,13.90,0,0,2011
1133,25,Irfan PathanDC,14,13,46,344,11,3/24,31.27,7.50,25.00,0,0,2011
1134,26,Shadab JakatiCSK,15,14,44,336,10,4/22,33.60,7.60,26.50,0,0,2011
1135,27,Kieron PollardMI,16,16,42,361,10,4/44,36.10,8.49,25.50,0,0,2011
1136,28,Lakshmipathy BalajiKKR,14,14,44,371,10,5/24,37.10,8.36,26.60,0,0,2011
1137,29,Pragyan OjhaDEC,10,10,37,267,10,3/11,26.70,7.24,22.10,0,0,2011
1138,30,Praveen KumarPBKS,13,13,46,345,10,3/18,34.50,7.50,27.60,0,0,2011
1139,31,Siddharth TrivediRR,12,12,35,303,10,4/25,30.30,8.49,21.40,0,0,2011
1140,32,Amit SinghRR,9,9,28,215,9,4/19,23.88,7.54,19.00,0,0,2011
1141,33,Bhargav BhattPBKS,10,8,28,229,9,4/22,25.44,8.22,18.55,1,0,2011
1142,34,Wayne ParnellPWI,8,8,29,213,9,3/27,23.66,7.26,19.55,0,0,2011
1143,35,Yuvraj SinghPWI,14,13,29,192,9,4/29,21.33,6.62,19.33,1,0,2011
1144,36,Chris GayleRCB,12,12,36,244,8,3/21,30.50,6.77,27.00,0,0,2011
1145,37,Shalabh SrivastavaPBKS,6,6,20,186,8,2/20,23.25,9.30,15.00,0,0,2011
1146,38,Ravindra JadejaKTK,14,14,42,305,8,5/16,38.12,7.26,31.50,0,0,2011
1147,39,Rajat BhatiaKKR,14,12,32,210,8,4/15,26.25,6.56,24.00,0,0,2011
1148,40,Ajit AgarkarDC,7,7,27,231,8,3/25,28.87,8.55,20.25,0,0,2011
1149,41,Jacques KallisKKR,15,9,24,170,7,3/13,24.28,7.08,20.57,0,0,2011
1150,42,James HopesDC,10,9,32,272,7,2/2,38.85,8.50,27.42,0,0,2011
1151,43,Johan BothaRR,10,10,36,239,7,3/6,34.14,6.63,30.85,0,0,2011
1152,44,Mitchell MarshPWI,5,5,14,99,7,4/25,14.14,6.98,12.14,1,0,2011
1153,45,Paul ValthatyPBKS,14,9,24,189,7,4/29,27.00,7.82,20.71,1,0,2011
1154,46,Shanthakumaran SreesanthKTK,9,9,32,206,7,3/29,29.42,6.47,27.28,0,0,2011
1155,47,Brad HodgeKTK,14,4,11,77,7,4/13,11.00,7.00,9.42,1,0,2011
1156,48,Jaydev UnadkatKKR,7,6,18,150,6,5/25,25.00,8.33,18.00,0,0,2011
1157,49,Suraj RandivCSK,8,8,29,223,6,2/24,37.16,7.68,29.00,0,0,2011
1158,50,Shaun TaitRR,4,4,15,127,6,3/13,21.16,8.56,14.83,0,0,2011
1159,51,Shane WatsonRR,11,10,36,241,6,4/29,40.16,6.69,36.00,0,0,2011
1160,52,Dwayne BravoCSK,6,6,20,157,6,4/22,26.16,7.85,20.00,0,0,2011
1161,53,Raiphi GomezKTK,11,8,15,124,5,2/14,24.80,8.26,18.00,0,0,2011
1162,54,Ryan McLarenPBKS,6,6,18,178,5,2/28,35.60,9.88,21.60,0,0,2011
1163,55,Roelof van der MerweDC,4,4,15,92,5,3/20,18.40,6.20,17.80,0,0,2011
1164,56,Dhawal KulkarniMI,6,6,20,149,5,4/14,29.80,7.45,24.00,0,0,2011
1165,57,Syed MohammadRCB,5,5,15,127,5,2/15,25.40,8.46,18.00,0,0,2011
1166,58,Brett LeeKKR,12,12,45,338,5,3/15,67.60,7.45,54.40,0,0,2011
1167,59,Charl LangeveldtRCB,3,3,11,84,5,3/15,16.80,7.63,13.20,0,0,2011
1168,60,Abhimanyu MithunRCB,12,12,34,321,5,2/37,64.20,9.44,40.80,0,0,2011
1169,61,Ashok DindaDC,6,5,17,152,5,4/18,30.40,8.94,20.40,0,0,2011
1170,62,Shrikant WaghPWI,7,7,16,121,4,3/16,30.25,7.56,24.00,0,0,2011
1171,63,Suresh RainaCSK,16,12,27,201,4,2/0,50.25,7.30,41.25,0,0,2011
1172,64,JP DuminyDEC,10,8,18,143,4,4/17,35.75,7.94,27.00,0,0,2011
1173,65,Jesse RyderPWI,13,7,15,118,4,2/14,29.50,7.69,23.00,0,0,2011
1174,66,Manpreet GonyDEC,3,3,9,85,4,3/31,21.25,9.44,13.50,0,0,2011
1175,67,Tim SoutheeCSK,5,5,19,166,4,3/24,41.50,8.73,28.50,0,0,2011
1176,68,P ParameswaranKTK,5,5,15,137,4,2/20,34.25,8.74,23.50,0,0,2011
1177,69,Bipul SharmaPBKS,4,4,12,78,4,2/13,19.50,6.50,18.00,0,0,2011
1178,70,Shahbaz NadeemDC,5,5,19,142,4,3/16,35.50,7.47,28.50,0,0,2011
1179,71,Harmeet Singh BansalDEC,2,2,7,53,3,3/24,17.66,7.57,14.00,0,0,2011
1180,72,Aavishkar SalviDC,2,2,8,66,3,2/40,22.00,8.25,16.00,0,0,2011
1181,73,Ryan NinanRCB,2,2,6,65,3,2/31,21.66,10.83,12.00,0,0,2011
1182,74,Ali MurtazaMI,5,5,20,117,3,3/15,39.00,5.85,40.00,0,0,2011
1183,75,Bhuvneshwar KumarPWI,4,4,11,67,3,5/19,22.33,6.09,22.00,0,0,2011
1184,76,James FranklinMI,8,6,10,99,3,2/18,33.00,9.73,20.33,0,0,2011
1185,77,Anand RajanDEC,2,2,5,50,3,3/27,16.66,10.00,10.00,0,0,2011
1186,78,Johan van der WathRCB,3,3,12,129,3,2/49,43.00,10.75,24.00,0,0,2011
1187,79,Varun AaronDC,4,3,12,82,2,3/16,41.00,6.83,36.00,0,0,2011
1188,80,Thisara PereraKTK,4,4,14,111,2,3/20,55.50,7.92,42.00,0,0,2011
1189,81,Umesh YadavDC,7,6,18,169,2,4/24,84.50,9.38,54.00,0,0,2011
1190,82,Ashok MenariaRR,13,9,15,121,2,2/20,60.50,8.06,45.00,0,0,2011
1191,83,Dirk NannesRCB,2,2,4,31,2,3/27,15.50,7.75,12.00,0,0,2011
1192,84,Virat KohliRCB,16,10,17,139,2,2/25,69.50,8.17,51.00,0,0,2011
1193,85,Muttiah MuralitharanKTK,5,5,19,141,2,3/11,70.50,7.42,57.00,0,0,2011
1194,86,Abhishek NayarPBKS,10,6,10,95,2,3/13,47.50,9.34,30.50,0,0,2011
1195,87,Ramesh PowarKTK,5,5,12,112,2,2/11,56.00,9.33,36.00,0,0,2011
1196,88,Yogesh NagarDC,11,5,5,67,1,1/3,67.00,13.40,30.00,0,0,2011
1197,89,David HusseyPBKS,8,2,3,38,1,2/2,38.00,12.66,18.00,0,0,2011
1198,90,Shikhar DhawanDEC,14,2,2,11,1,1/7,11.00,5.50,12.00,0,0,2011
1199,91,Tillakaratne DilshanRCB,10,6,12,108,1,1/30,108.00,9.00,72.00,0,0,2011
1200,92,Andrew SymondsMI,11,3,4,41,1,3/21,41.00,10.25,24.00,0,0,2011
1201,93,Murali KartikPWI,6,6,21,166,1,3/17,166.00,7.96,125.00,0,0,2011
1202,94,Nayan DoshiRR,3,3,5,62,1,1/15,62.00,11.62,32.00,0,0,2011
1203,95,Nuwan KulasekaraCSK,1,1,3,26,1,2/10,26.00,8.66,18.00,0,0,2011
1204,96,Jacob OramRR,2,1,2,32,1,3/32,32.00,16.00,12.00,0,0,2011
1205,97,James FaulknerPWI,1,1,2,9,1,5/16,9.00,4.50,12.00,0,0,2011
1206,1,Pragyan OjhaDEC,16,16,59,429,21,3/11,20.42,7.29,16.80,0,0,2010
1207,2,Harbhajan SinghMI,15,14,53,377,17,5/18,22.17,7.04,18.88,0,0,2010
1208,3,Anil KumbleRCB,16,16,63,407,17,5/5,23.94,6.42,22.35,1,0,2010
1209,4,Amit MishraDC,14,14,53,363,17,5/17,21.35,6.84,18.70,0,0,2010
1210,5,Vinay KumarRCB,14,14,46,396,16,4/40,24.75,8.57,17.31,1,0,2010
1211,6,Zaheer KhanMI,14,14,48,376,15,4/17,25.06,7.77,19.33,0,0,2010
1212,7,Dale SteynRCB,15,15,59,406,15,3/11,27.06,6.88,23.60,0,0,2010
1213,8,Irfan PathanPBKS,14,14,46,426,15,3/24,28.40,9.19,18.53,0,0,2010
1214,9,Kieron PollardMI,14,12,37,274,15,4/44,18.26,7.40,14.80,0,0,2010
1215,10,Lasith MalingaMI,13,13,49,344,15,5/13,22.93,7.02,19.60,1,0,2010
1216,11,Muttiah MuralitharanCSK,12,12,48,329,15,3/11,21.93,6.85,19.20,0,0,2010
1217,12,Ryan HarrisDEC,8,8,30,233,14,4/34,16.64,7.59,13.14,0,0,2010
1218,13,Ravichandran AshwinCSK,12,12,48,293,13,4/34,22.53,6.10,22.15,0,0,2010
1219,14,RP SinghDEC,12,12,42,370,13,4/22,28.46,8.80,19.38,0,0,2010
1220,15,Jacques KallisRCB,16,16,57,476,13,3/13,36.61,8.35,26.30,0,0,2010
1221,16,Shadab JakatiCSK,11,11,38,291,13,4/22,22.38,7.65,17.53,0,0,2010
1222,17,Piyush ChawlaPBKS,14,14,49,367,12,4/17,30.58,7.48,24.50,0,0,2010
1223,18,Doug BollingerCSK,8,8,31,207,12,4/13,17.25,6.67,15.50,1,0,2010
1224,19,Andrew SymondsDEC,16,16,53,372,12,3/21,31.00,7.01,26.50,0,0,2010
1225,20,Siddharth TrivediRR,11,10,35,260,11,4/25,23.63,7.32,19.36,0,0,2010
1226,21,Shane WarneRR,14,14,50,381,11,4/21,34.63,7.62,27.27,1,0,2010
1227,22,Albie MorkelCSK,14,14,47,405,11,4/32,36.81,8.49,26.00,0,0,2010
1228,23,Shaun TaitRR,8,8,31,264,10,3/13,26.40,8.47,18.70,0,0,2010
1229,24,Praveen KumarRCB,12,12,45,380,10,3/18,38.00,8.44,27.00,0,0,2010
1230,25,Murali KartikKKR,10,10,39,253,9,3/17,28.11,6.48,26.00,0,0,2010
1231,26,Pradeep SangwanDC,8,8,31,258,9,3/18,28.66,8.32,20.66,0,0,2010
1232,27,Ashok DindaKKR,7,7,23,152,9,4/18,16.88,6.56,15.44,0,0,2010
1233,28,Shane BondKKR,8,8,31,224,9,2/24,24.88,7.22,20.66,0,0,2010
1234,29,Chaminda VaasDEC,6,6,22,139,9,3/21,15.44,6.31,14.66,0,0,2010
1235,30,Harmeet Singh BansalDEC,8,8,24,174,8,3/24,21.75,7.25,18.00,0,0,2010
1236,31,MF MaharoofDC,7,7,24,206,8,3/34,25.75,8.58,18.00,0,0,2010
1237,32,Angelo MathewsKKR,14,12,37,314,8,4/19,39.25,8.37,28.12,1,0,2010
1238,33,Dilhara FernandoMI,5,5,19,138,7,4/18,19.71,7.26,16.28,0,0,2010
1239,34,Ishant SharmaKKR,7,7,25,236,7,5/12,33.71,9.44,21.42,0,0,2010
1240,35,Lakshmipathy BalajiCSK,7,7,23,207,7,5/24,29.57,8.87,20.00,0,0,2010
1241,36,Dirk NannesDC,9,9,34,224,7,3/27,32.00,6.52,29.42,0,0,2010
1242,37,Juan TheronPBKS,7,7,24,187,6,2/17,31.16,7.79,24.00,0,0,2010
1243,38,Shane WatsonRR,6,6,22,184,6,4/29,30.66,8.36,22.00,0,0,2010
1244,39,Umesh YadavDC,7,7,24,184,6,4/24,30.66,7.66,24.00,0,0,2010
1245,40,Jaskaran SinghDEC,6,6,14,139,6,2/18,23.16,9.92,14.00,0,0,2010
1246,41,Ashish NehraDC,4,4,14,96,6,4/10,16.00,6.85,14.00,0,0,2010
1247,42,Shalabh SrivastavaPBKS,8,8,27,255,6,2/20,42.50,9.44,27.00,0,0,2010
1248,43,Suresh RainaCSK,16,12,24,178,6,2/0,29.66,7.46,23.83,0,0,2010
1249,44,Rahul SharmaDEC,6,6,20,167,5,3/13,33.40,8.08,24.80,0,0,2010
1250,45,Ravi BoparaPBKS,10,5,13,127,5,3/31,25.40,9.76,15.60,0,0,2010
1251,46,Thilan ThusharaCSK,4,4,14,101,5,2/16,20.20,6.96,17.40,0,0,2010
1252,47,Aditya DoleRR,3,3,11,112,5,2/36,22.40,10.18,13.20,0,0,2010
1253,48,Yusuf PathanRR,14,11,34,246,5,3/20,49.20,7.23,40.80,0,0,2010
1254,49,Paul CollingwoodDC,8,6,15,101,5,2/19,20.20,6.80,17.80,0,0,2010
1255,50,Yuvraj SinghPBKS,14,10,23,152,5,4/29,30.40,6.60,27.60,0,0,2010
1256,51,Sumit NarwalRR,5,5,15,185,5,3/36,37.00,11.80,18.80,0,0,2010
1257,52,Andrew McDonaldDC,4,4,14,138,5,2/25,27.60,9.85,16.80,0,0,2010
1258,53,Charl LangeveldtKKR,3,3,11,88,5,3/15,17.60,8.00,13.20,0,0,2010
1259,54,Ajit AgarkarKKR,7,7,22,203,4,3/25,50.75,9.22,33.00,0,0,2010
1260,55,Chris GayleKKR,9,6,16,152,4,3/21,38.00,9.50,24.00,0,0,2010
1261,56,Dimitri MascarenhasRR,2,2,8,65,4,5/25,16.25,8.12,12.00,0,0,2010
1262,57,Dwayne BravoMI,10,10,26,228,4,4/22,57.00,8.71,39.25,0,0,2010
1263,58,Sarabjit LaddaDC,5,5,15,143,4,2/44,35.75,9.53,22.50,0,0,2010
1264,59,Ryan McLarenMI,10,10,34,270,4,2/28,67.50,7.94,51.00,0,0,2010
1265,60,Jaydev UnadkatKKR,3,3,10,85,4,5/25,21.25,8.22,15.50,0,0,2010
1266,61,Munaf PatelRR,4,4,13,118,3,5/21,39.33,9.07,26.00,0,0,2010
1267,62,Virender SehwagDC,14,3,5,23,3,2/18,7.66,4.05,11.33,0,0,2010
1268,63,Ali MurtazaMI,3,3,12,91,3,3/15,30.33,7.58,24.00,0,0,2010
1269,64,Tillakaratne DilshanDC,6,4,8,70,3,1/30,23.33,8.57,16.33,0,0,2010
1270,65,Bipul SharmaPBKS,5,4,10,94,3,2/13,31.33,9.40,20.00,0,0,2010
1271,66,Shanthakumaran SreesanthPBKS,6,6,19,191,3,3/29,63.66,10.05,38.00,0,0,2010
1272,67,JM KempCSK,5,5,7,54,3,3/12,18.00,7.36,14.66,0,0,2010
1273,68,Ramesh PowarPBKS,7,7,23,160,3,2/11,53.33,6.95,46.00,0,0,2010
1274,69,Rajat BhatiaDC,5,5,16,132,3,4/15,44.00,8.25,32.00,0,0,2010
1275,70,Love AblishPBKS,2,2,4,36,3,2/17,12.00,9.00,8.00,0,0,2010
1276,71,Laxmi Ratan ShuklaKKR,4,4,12,106,3,3/25,35.33,8.83,24.00,0,0,2010
1277,72,Kamran KhanRR,3,3,6,53,3,3/18,17.66,8.83,12.00,0,0,2010
1278,73,Kevin PietersenRCB,7,6,10,77,3,2/31,25.66,7.70,20.00,0,0,2010
1279,74,Roelof van der MerweRCB,1,1,4,27,2,3/20,13.50,6.75,12.00,0,0,2010
1280,75,Ajantha MendisKKR,2,2,8,66,2,2/19,33.00,8.25,24.00,0,0,2010
1281,76,Mitchell MarshDEC,3,3,10,88,2,4/25,44.00,8.80,30.00,0,0,2010
1282,77,Amit UniyalRR,2,2,6,66,2,2/41,33.00,11.00,18.00,0,0,2010
1283,78,Pankaj SinghRCB,2,2,8,81,2,2/18,40.50,10.12,24.00,0,0,2010
1284,79,Brad HodgeKKR,4,4,5,41,2,4/13,20.50,8.20,15.00,0,0,2010
1285,80,Joginder SharmaCSK,3,3,8,89,2,2/27,44.50,11.12,24.00,0,0,2010
1286,81,Rajagopal SathishMI,12,4,8,81,2,1/11,40.50,10.12,24.00,0,0,2010
1287,82,Sanath JayasuriyaMI,4,4,9,68,2,3/14,34.00,7.55,27.00,0,0,2010
1288,83,Rohit SharmaDEC,16,9,19,153,2,4/6,76.50,8.05,57.00,0,0,2010
1289,84,Daniel VettoriDC,3,3,11,97,2,3/15,48.50,8.31,35.00,0,0,2010
1290,85,Iqbal AbdullaKKR,3,3,8,61,1,3/24,61.00,7.17,51.00,0,0,2010
1291,86,Abhimanyu MithunRCB,1,1,3,39,1,2/37,39.00,13.00,18.00,0,0,2010
1292,87,Moises HenriquesDC,1,1,4,35,1,3/12,35.00,8.75,24.00,0,0,2010
1293,88,Yusuf AbdullaPBKS,2,2,7,66,1,4/31,66.00,9.65,41.00,0,0,2010
1294,89,Yo MaheshDC,1,1,3,23,1,4/36,23.00,7.66,18.00,0,0,2010
1295,90,Manpreet GonyCSK,3,3,8,92,1,3/31,92.00,11.50,48.00,0,0,2010
1296,91,Vikramjeet MalikPBKS,3,3,7,62,1,2/14,62.00,8.65,43.00,0,0,2010
1297,92,Nayan DoshiRCB,1,1,4,17,1,1/15,17.00,4.25,24.00,0,0,2010
1298,93,Dwayne SmithDEC,3,2,4,36,1,4/8,36.00,9.39,23.00,0,0,2010
1299,94,Sudeep TyagiCSK,6,6,16,159,1,2/18,159.00,10.04,95.00,0,0,2010
1300,95,JP DuminyMI,7,2,5,37,1,4/17,37.00,6.72,33.00,0,0,2010
1301,96,KP AppannaRCB,2,2,7,51,1,4/19,51.00,7.28,42.00,0,0,2010
1302,97,Dhawal KulkarniMI,1,1,4,40,1,4/14,40.00,10.00,24.00,0,0,2010
1303,1,RP SinghDEC,16,16,59,417,23,4/22,18.13,6.98,15.56,1,0,2009
1304,2,Anil KumbleRCB,16,16,59,347,21,5/5,16.52,5.86,16.90,1,1,2009
1305,3,Pragyan OjhaDEC,15,15,53,348,18,3/11,19.33,6.50,17.83,0,0,2009
1306,4,Lasith MalingaMI,13,13,49,312,18,5/13,17.33,6.30,16.50,0,0,2009
1307,5,Irfan PathanPBKS,14,14,50,390,17,3/24,22.94,7.74,17.76,0,0,2009
1308,6,Munaf PatelRR,11,11,35,241,16,5/21,15.06,6.91,13.06,0,0,2009
1309,7,Shane WarneRR,13,13,50,365,14,4/21,26.07,7.30,21.42,0,0,2009
1310,8,Muttiah MuralitharanCSK,13,13,50,261,14,3/11,18.64,5.22,21.42,0,0,2009
1311,9,Amit MishraDC,11,11,42,294,14,5/17,21.00,6.97,18.07,0,0,2009
1312,10,Yusuf AbdullaPBKS,9,9,28,241,14,4/31,17.21,8.60,12.00,2,0,2009
1313,11,Lakshmipathy BalajiCSK,13,13,37,316,13,5/24,24.30,8.46,17.23,1,0,2009
1314,12,Praveen KumarRCB,13,13,49,394,13,3/18,30.30,7.93,22.92,0,0,2009
1315,13,Shadab JakatiCSK,9,8,29,217,13,4/22,16.69,7.48,13.38,2,0,2009
1316,14,Albie MorkelCSK,12,12,40,324,13,4/32,24.92,8.10,18.46,0,0,2009
1317,15,Harbhajan SinghMI,13,13,44,256,12,5/18,21.33,5.81,22.00,1,0,2009
